Replication Factor	Partition	Message Size	Acks	Batch Size	Records/sec	MB/sec	avg latency	max latency	50th	95th	99th	99.9th
1	1	100	-1	16384	690035.8819	65.81	327.93	1105	331	831	1074	1101
1	1	100	-1	16384	1054185.115	100.53	27.09	141	16	92	130	139
1	1	100	-1	16384	989315.3937	94.35	78.4	405	25	303	373	403
1	1	100	-1	16384	911178.7968	86.89667	144.47333	550.33333	124	408.66667	525.66667	547.66667
1	1	100	-1	50000	1188495.365	113.34	0.67	136	1	1	4	15
1	1	100	-1	50000	1214181.642	115.79	9.53	263	1	6	253	262
1	1	100	-1	50000	1166316.772	111.23	22.15	344	1	194	340	343
1	1	100	-1	50000	1189664.593	113.45333	10.78333	247.66667	1	67	199	206.66667
1	1	100	-1	100000	1385041.551	132.09	0.76	137	1	1	3	8
1	1	100	-1	100000	1417233.56	135.16	0.77	135	1	1	4	14
1	1	100	-1	100000	1317523.057	125.65	1.47	250	1	2	12	120
1	1	100	-1	100000	1373266.056	130.96667	1	174	1	1.33333	6.33333	47.33333
1	1	100	-1	200000	1331912.627	127.02	2.41	177	1	2	86	151
1	1	100	-1	200000	1365001.365	130.18	10.49	340	1	56	270	337
1	1	100	-1	200000	1359804.188	129.68	0.72	132	1	1	4	14
1	1	100	-1	200000	1352239.393	128.96	4.54	216.33333	1	19.66667	120	167.33333
1	1	100	-1	500000	1218620.522	116.22	22.9	363	1	241	326	358
1	1	100	-1	500000	1345532.831	128.32	0.84	135	1	1	5	46
1	1	100	-1	500000	1293326.436	123.34	1.19	133	1	2	14	80
1	1	100	-1	500000	1285826.596	122.62667	8.31	210.33333	1	81.33333	115	161.33333
1	1	500	-1	16384	256147.541	122.14	228.71	609	205	582	600	609
1	1	500	-1	16384	200400.8016	95.56	297.66	1539	215	1521	1533	1539
1	1	500	-1	16384	274499.0393	130.89	211.82	369	208	297	354	367
1	1	500	-1	16384	243682.4606	116.19667	246.06333	839	209.33333	800	829	838.33333
1	1	500	-1	50000	382409.1778	182.35	137.73	567	119	528	565	566
1	1	500	-1	50000	423728.8136	202.05	120.87	226	128	185	222	225
1	1	500	-1	50000	457247.3708	218.03	112.82	143	120	134	141	142
1	1	500	-1	50000	421128.4541	200.81	123.80667	312	122.33333	282.33333	309.33333	311
1	1	500	-1	100000	541125.5411	258.03	84.48	142	91	109	136	137
1	1	500	-1	100000	552181.1154	263.3	69.73	137	68	119	122	124
1	1	500	-1	100000	546746.8562	260.71	77.35	163	92	117	124	130
1	1	500	-1	100000	546684.5043	260.68	77.18667	147.33333	83.66667	115	127.33333	130.33333
1	1	500	-1	200000	599161.1744	285.7	52.52	133	57	101	104	105
1	1	500	-1	200000	563063.0631	268.49	56.67	134	63	115	119	121
1	1	500	-1	200000	585823.0814	279.34	49.96	140	53	126	133	134
1	1	500	-1	200000	582682.4396	277.84333	53.05	135.66667	57.66667	114	118.66667	120
1	1	500	-1	500000	556173.5261	265.2	34.65	240	4	226	237	239
1	1	500	-1	500000	624219.7253	297.65	17.11	132	7	71	75	77
1	1	500	-1	500000	597728.6312	285.02	47.05	137	41	113	115	115
