Replication Factor	Partition	Message Size	Acks	Buffer Memory	Records/sec	MB/sec	avg latency	max latency	50th	95th	99th	99.9th
1	1	100	-1	10000000	713368.5262	68.03	72.9	528	9	300	455	522
1	1	100	-1	10000000	1141031.492	108.82	2	140	1	8	13	36
1	1	100	-1	10000000	1019783.806	97.25	26.24	187	1	125	152	182
1	1	100	-1	10000000	958061.2748	91.36667	33.71333	285	3.66667	144.33333	206.66667	246.66667
1	1	100	-1	33554432	1049097.776	100.05	53.98	188	24	163	173	188
1	1	100	-1	33554432	899280.5755	85.76	97.46	1012	16	885	990	1010
1	1	100	-1	33554432	1072731.174	102.3	96.75	394	33	352	383	392
1	1	100	-1	33554432	1007036.508	96.03667	82.73	531.33333	24.33333	466.66667	515.33333	530
1	1	100	-1	100000000	1023122.57	97.57	71.02	305	1	271	286	296
1	1	100	-1	100000000	1173708.92	111.93	13.4	133	1	59	70	72
1	1	100	-1	100000000	1137656.428	108.5	15.8	137	4	70	78	78
1	1	100	-1	100000000	1111495.973	106	33.40667	191.66667	2	133.33333	144.66667	148.66667
1	1	100	-1	200000000	1164415.463	111.05	3.42	134	1	15	25	27
1	1	100	-1	200000000	1148105.626	109.49	10.12	135	1	54	98	117
1	1	100	-1	200000000	1136363.636	108.37	6.48	136	1	34	64	69
1	1	100	-1	200000000	1149628.242	109.63667	6.67333	135	1	34.33333	62.33333	71
1	1	500	-1	10000000	290360.0465	138.45	62.24	168	60	89	167	167
1	1	500	-1	10000000	295420.9749	140.87	60.9	136	62	76	105	111
1	1	500	-1	10000000	265463.2333	126.58	68.32	340	61	107	320	339
1	1	500	-1	10000000	283748.0849	135.3	63.82	214.66667	61	90.66667	197.33333	205.66667
1	1	500	-1	33554432	268312.3155	127.94	218.27	289	232	267	278	288
1	1	500	-1	33554432	230733.7333	110.02	258.43	710	234	658	707	710
1	1	500	-1	33554432	259067.3575	123.53	229.31	315	238	272	299	314
1	1	500	-1	33554432	252704.4688	120.49667	235.33667	438	234.66667	399	428	437.33333
1	1	500	-1	100000000	232234.092	110.74	658.4	1148	679	1131	1146	1147
1	1	500	-1	100000000	270562.7706	129.01	561.58	754	568	747	752	753
1	1	500	-1	100000000	248508.9463	118.5	638.77	793	721	779	787	792
1	1	500	-1	100000000	250435.2696	119.41667	619.58333	898.33333	656	885.66667	895	897.33333
1	1	500	-1	200000000	250438.267	119.42	1140.86	1477	1252	1448	1474	1476
1	1	500	-1	200000000	256081.9462	122.11	1064.86	1542	1169	1517	1532	1541
1	1	500	-1	200000000	250563.7685	119.48	1095.73	1540	1252	1509	1538	1539
1	1	500	-1	200000000	252361.3272	120.33667	1100.48333	1519.66667	1224.33333	1491.33333	1514.66667	1518.66667
1	1	1000	-1	10000000	148942.5082	142.04	61.04	165	59	76	142	162
