Replication Factor	Partition	Message Size	Acks	Linger ms	Records/sec	MB/sec	avg latency	max latency	50th	95th	99th	99.9th
1	1	100	-1	0	667022.412	63.61	310.7	1133	289	864	1072	1128
1	1	100	-1	0	749962.5019	71.52	212.36	1611	28	1539	1598	1609
1	1	100	-1	0	1032417.923	98.46	32.87	201	4	139	165	180
1	1	100	-1	0	816467.6122	77.86333	185.31	981.66667	107	847.33333	945	972.33333
1	1	100	-1	1	1135331.517	108.27	17.7	141	1	101	116	129
1	1	100	-1	1	1041449.698	99.32	65.9	266	57	163	236	263
1	1	100	-1	1	1125619.091	107.35	11.69	151	1	67	112	143
1	1	100	-1	1	1100800.102	104.98	31.76333	186	19.66667	110.33333	154.66667	178.33333
1	1	100	-1	2	1209189.843	115.32	4.41	134	1	20	29	31
1	1	100	-1	2	1053074.979	100.43	41.34	178	13	155	173	177
1	1	100	-1	2	1129943.503	107.76	5.6	142	1	28	47	61
1	1	100	-1	2	1130736.108	107.83667	17.11667	151.33333	5	67.66667	83	89.66667
1	1	100	-1	5	985027.5808	93.94	157.34	477	108	380	394	404
1	1	100	-1	5	1064735.945	101.54	24.63	448	1	71	91	445
1	1	100	-1	5	1161710.037	110.79	25.41	246	1	150	233	244
1	1	100	-1	5	1070491.188	102.09	69.12667	390.33333	36.66667	200.33333	239.33333	364.33333
1	1	100	-1	10	1102779.003	105.17	24.89	140	9	108	130	134
1	1	100	-1	10	1155268.022	110.17	7.44	143	1	51	67	77
1	1	100	-1	10	1061796.56	101.26	48.38	218	32	155	203	216
1	1	100	-1	10	1106614.528	105.53333	26.90333	167	14	104.66667	133.33333	142.33333
1	1	500	-1	0	263435.1949	125.62	221.93	569	192	540	560	568
1	1	500	-1	0	246487.5524	117.53	239.14	613	220	580	594	612
1	1	500	-1	0	265745.4159	126.72	218.96	535	201	518	533	534
1	1	500	-1	0	258556.0544	123.29	226.67667	572.33333	204.33333	546	562.33333	571.33333
1	1	500	-1	1	235793.4449	112.44	250.21	842	220	806	839	841
1	1	500	-1	1	267094.0171	127.36	219.15	554	209	529	539	554
1	1	500	-1	1	202880.9089	96.74	296.44	1529	221	1507	1521	1528
1	1	500	-1	1	235256.1237	112.18	255.26667	975	216.66667	947.33333	966.33333	974.33333
1	1	500	-1	2	269396.5517	128.46	215.72	312	214	298	310	311
1	1	500	-1	2	272108.8435	129.75	212.68	347	206	324	334	346
1	1	500	-1	2	278164.1168	132.64	208.41	260	214	249	254	258
1	1	500	-1	2	273223.1707	130.28333	212.27	306.33333	211.33333	290.33333	299.33333	305
1	1	500	-1	5	272108.8435	129.75	212.93	278	213	267	276	278
1	1	500	-1	5	266311.5846	126.99	220.06	536	201	523	533	535
1	1	500	-1	5	284495.0213	135.66	202.82	274	213	258	270	274
1	1	500	-1	5	274305.1498	130.8	211.93667	362.66667	209	349.33333	359.66667	362.33333
1	1	500	-1	10	273897.5623	130.6	211.08	268	217	251	263	267
1	1	500	-1	10	274197.9709	130.75	210.84	278	215	251	259	276
1	1	500	-1	10	278396.4365	132.75	208.09	274	204	259	269	273
1	1	500	-1	10	275497.3233	131.36667	210.00333	273.33333	212	253.66667	263.66667	272
1	1	1000	-1	0	137892.995	131.51	216.33	634	189	526	614	633
1	1	1000	-1	0	112841.3451	107.61	269.91	1219	204	1201	1217	1219
1	1	1000	-1	0	131995.7761	125.88	224.26	633	198	540	603	630
1	1	1000	-1	0	127576.7054	121.66667	236.83333	828.66667	197	755.66667	811.33333	827.33333
1	1	1000	-1	1	125031.2578	119.24	238.73	639	208	620	636	638
1	1	1000	-1	1	142979.6969	136.36	206.89	329	203	254	300	324
1	1	1000	-1	1	121036.0687	115.43	248.11	809	199	800	807	809
1	1	1000	-1	1	129682.3412	123.67667	231.24333	592.33333	203.33333	558	581	590.33333
1	1	1000	-1	2	147362.2163	140.54	198.65	302	189	253	289	299
1	1	1000	-1	2	144133.7561	137.46	203.84	278	203	244	264	276
1	1	1000	-1	2	134734.5729	128.49	221.55	491	204	476	488	490
1	1	1000	-1	2	142076.8485	135.49667	208.01333	357	198.66667	324.33333	347	355
1	1	1000	-1	5	136761.488	130.43	217.19	451	203	437	450	450
1	1	1000	-1	5	123731.7496	118	241.13	838	203	678	797	834
1	1	1000	-1	5	145433.3915	138.7	202.92	319	200	255	298	317
1	1	1000	-1	5	135308.8764	129.04333	220.41333	536	202	456.66667	515	533.66667
1	1	1000	-1	10	124533.0012	118.76	206.71	716	205	237	260	714
1	1	1000	-1	10	146198.8304	139.43	201.67	322	202	249	302	318
1	1	1000	-1	10	141763.5384	135.2	207.65	285	209	247	266	283
1	1	1000	-1	10	137498.4567	131.13	205.34333	441	205.33333	244.33333	276	438.33333
1	2	100	-1	0	1293661.061	123.37	1.5	145	1	7	19	31
1	2	100	-1	0	1431434.297	136.51	0.9	133	1	1	5	22
1	2	100	-1	0	1404889.014	133.98	0.87	137	1	1	3	10
1	2	100	-1	0	1376661.457	131.28667	1.09	138.33333	1	3	9	21
