Replication Factor	Partition	Message Size	Acks	Max Request Size	Records/sec	MB/sec	avg latency	max latency	50th	95th	99th	99.9th
1	1	100	-1	500000	666577.7896	63.57	308.45	1143	230	849	1105	1138
1	1	100	-1	500000	1159285.88	110.56	5.48	142	1	34	48	60
1	1	100	-1	500000	758610.2261	72.35	243.35	1114	210	1029	1094	1113
1	1	100	-1	500000	861491.2985	82.16	185.76	799.66667	147	637.33333	749	770.33333
1	1	100	-1	1048576	1134044.001	108.15	2.81	144	1	20	37	40
1	1	100	-1	1048576	1037129.226	98.91	26.29	141	1	115	132	141
1	1	100	-1	1048576	993443.2744	94.74	72.92	251	29	234	242	248
1	1	100	-1	1048576	1054872.167	100.6	34.00667	178.66667	10.33333	123	137	143
1	1	100	-1	2000000	946073.7938	90.22	100.13	839	1	720	821	836
1	1	100	-1	2000000	967866.8215	92.3	59.95	300	32	219	278	299
1	1	100	-1	2000000	1052631.579	100.39	63.63	440	28	393	428	438
1	1	100	-1	2000000	988857.3981	94.30333	74.57	526.33333	20.33333	444	509	524.33333
1	1	100	-1	5000000	1094331.364	104.36	44.77	205	6	170	189	205
1	1	100	-1	5000000	1165772.907	111.18	11.15	153	1	78	136	151
1	1	100	-1	5000000	1132246.377	107.98	4.76	137	1	31	50	61
1	1	100	-1	5000000	1130783.549	107.84	20.22667	165	2.66667	93	125	139
1	1	100	-1	10000000	1148633.127	109.54	1.5	136	1	7	21	23
1	1	100	-1	10000000	1172882.946	111.85	9.76	137	1	54	89	99
1	1	100	-1	10000000	1155802.127	110.23	1.22	133	1	5	10	15
1	1	100	-1	10000000	1159106.067	110.54	4.16	135.33333	1	22	40	45.66667
1	1	500	-1	500000	232774.6741	111	253.58	624	232	596	613	623
1	1	500	-1	500000	239635.7537	114.27	246.78	589	236	570	580	588
1	1	500	-1	500000	224215.2466	106.91	265.83	1053	225	993	1037	1050
1	1	500	-1	500000	232208.5581	110.72667	255.39667	755.33333	231	719.66667	743.33333	753.66667
1	1	500	-1	1048576	270929.2875	129.19	213.75	293	220	257	279	291
1	1	500	-1	1048576	244259.8925	116.47	240.73	678	219	646	667	676
1	1	500	-1	1048576	249687.8901	119.06	234.01	581	219	491	553	576
1	1	500	-1	1048576	254959.0234	121.57333	229.49667	517.33333	219.33333	464.66667	499.66667	514.33333
1	1	500	-1	2000000	245098.0392	116.87	240.23	723	212	652	712	721
1	1	500	-1	2000000	271223.2167	129.33	214.14	261	221	252	257	259
1	1	500	-1	2000000	247157.6866	117.85	237.53	689	216	659	682	688
1	1	500	-1	2000000	254492.9808	121.35	230.63333	557.66667	216.33333	521	550.33333	556
1	1	500	-1	5000000	270270.2703	128.87	213.34	284	223	264	272	283
1	1	500	-1	5000000	205044.0845	97.77	295.31	1366	228	1315	1344	1365
1	1	500	-1	5000000	271812.9927	129.61	212.67	270	223	252	259	269
1	1	500	-1	5000000	249042.4491	118.75	240.44	640	224.66667	610.33333	625	639
1	1	500	-1	10000000	241545.8937	115.18	243.27	541	223	530	540	541
1	1	500	-1	10000000	274574.4097	130.93	212.16	289	232	265	273	288
1	1	500	-1	10000000	260688.2169	124.31	225.68	403	225	383	397	402
1	1	500	-1	10000000	258936.1734	123.47333	227.03667	411	226.66667	392.66667	403.33333	410.33333
1	1	1000	-1	500000	141402.7149	134.85	206.89	298	209	241	277	296
1	1	1000	-1	500000	137551.5818	131.18	214.13	271	210	260	265	269
1	1	1000	-1	500000	143472.023	136.83	204.89	278	210	239	258	276
1	1	1000	-1	500000	140808.7732	134.28667	208.63667	282.33333	209.66667	246.66667	266.66667	280.33333
1	1	1000	-1	1048576	143225.4368	136.59	206.93	312	207	252	296	310
1	1	1000	-1	1048576	144592.2499	137.89	205.74	270	206	240	258	268
1	1	1000	-1	1048576	142857.1429	136.24	206.21	278	205	236	261	277
1	1	1000	-1	1048576	143558.2765	136.90667	206.29333	286.66667	206	242.66667	271.66667	285
1	1	1000	-1	2000000	143348.6239	136.71	205.72	283	206	242	265	280
1	1	1000	-1	2000000	124007.9365	118.26	241.63	656	220	553	640	654
1	1	1000	-1	2000000	138504.1551	132.09	212.01	300	207	245	280	299
1	1	1000	-1	2000000	135286.9052	129.02	219.78667	413	211	346.66667	395	411
1	1	1000	-1	5000000	145095.7632	138.37	204.13	302	198	253	286	301
1	1	1000	-1	5000000	143802.1283	137.14	206.31	328	203	297	315	326
1	1	1000	-1	5000000	128932.4394	122.96	230.35	513	214	492	512	513
1	1	1000	-1	5000000	139276.777	132.82333	213.59667	381	205	347.33333	371	380
1	1	1000	-1	10000000	133084.9082	126.92	223.16	597	205	585	595	597
1	1	1000	-1	10000000	144550.4481	137.85	205.64	295	209	243	278	293
1	1	1000	-1	10000000	125093.8204	119.3	239.15	750	210	728	749	750
1	1	1000	-1	10000000	134243.0589	128.02333	222.65	547.33333	208	518.66667	540.66667	546.66667
1	2	100	-1	500000	1219512.195	116.3	1.52	136	1	5	16	25
1	2	100	-1	500000	1281394.157	122.2	1.43	135	1	6	15	21
1	2	100	-1	500000	1334400.854	127.26	0.86	136	1	1	2	8
1	2	100	-1	500000	1278435.735	121.92	1.27	135.66667	1	4	11	18
1	2	100	-1	1048576	1392369.813	132.79	0.79	135	1	1	3	13
1	2	100	-1	1048576	1315097.317	125.42	1.92	194	1	8	32	62
1	2	100	-1	1048576	1353546.291	129.08	0.98	139	1	2	8	25
1	2	100	-1	1048576	1353671.141	129.09667	1.23	156	1	3.66667	14.33333	33.33333
1	2	100	-1	2000000	1333688.984	127.19	17.17	282	1	136	253	279
1	2	100	-1	2000000	1268069.997	120.93	24.25	377	1	231	348	366
1	2	100	-1	2000000	1425313.569	135.93	0.85	135	1	1	4	11
1	2	100	-1	2000000	1342357.517	128.01667	14.09	264.66667	1	122.66667	201.66667	218.66667
1	2	100	-1	5000000	1280409.731	122.11	25.4	304	1	261	289	302
1	2	100	-1	5000000	1208313.195	115.23	52.41	749	1	671	737	747
1	2	100	-1	5000000	1344447.432	128.22	0.97	146	1	2	4	9
1	2	100	-1	5000000	1277723.453	121.85333	26.26	399.66667	1	311.33333	343.33333	352.66667
1	2	100	-1	10000000	1073652.566	102.39	47.82	683	1	546	668	678
1	2	100	-1	10000000	1294665.976	123.47	1.38	135	1	4	19	40
1	2	100	-1	10000000	1447178.003	138.01	0.88	133	1	2	4	11
1	2	100	-1	10000000	1271832.182	121.29	16.69333	317	1	184	230.33333	243
1	2	500	-1	500000	363108.2062	173.14	151.36	200	159	195	198	200
1	2	500	-1	500000	364298.725	173.71	151.82	189	159	182	187	188
1	2	500	-1	500000	371195.2487	177	145.97	205	151	180	193	205
1	2	500	-1	500000	366200.7266	174.61667	149.71667	198	156.33333	185.66667	192.66667	197.66667
1	2	500	-1	1048576	304043.7823	144.98	188.46	758	158	746	749	757
1	2	500	-1	1048576	364564.3456	173.84	151	206	154	188	198	204
1	2	500	-1	1048576	344471.2367	164.26	164.52	447	155	379	439	445
1	2	500	-1	1048576	337693.1215	161.02667	167.99333	470.33333	155.66667	437.66667	462	468.66667
1	2	500	-1	2000000	316756.4143	151.04	181.35	283	170	280	282	283
1	2	500	-1	2000000	343170.8991	163.64	162.81	218	163	206	215	218
1	2	500	-1	2000000	378071.8336	180.28	147.77	198	146	190	196	197
1	2	500	-1	2000000	345999.7157	164.98667	163.97667	233	159.66667	225.33333	231	232.66667
1	2	500	-1	5000000	299222.0227	142.68	191.88	719	151	688	717	718
1	2	500	-1	5000000	378501.1355	180.48	142.37	191	149	176	189	191
1	2	500	-1	5000000	339328.1303	161.8	159.92	217	167	201	212	216
1	2	500	-1	5000000	339017.0962	161.65333	164.72333	375.66667	155.66667	355	372.66667	375
1	2	500	-1	10000000	371333.0858	177.07	149.88	195	151	187	191	195
1	2	500	-1	10000000	156862.7451	74.8	396.45	3705	162	3679	3694	3704
1	2	500	-1	10000000	350140.056	166.96	154.32	204	162	190	200	204
1	2	500	-1	10000000	292778.629	139.61	233.55	1368	158.33333	1352	1361.66667	1367.66667
1	2	1000	-1	500000	178062.6781	169.81	160.88	335	151	321	326	335
1	2	1000	-1	500000	192901.2346	183.96	147.17	212	146	184	204	211
1	2	1000	-1	500000	78468.29881	74.83	396.67	2803	159	2800	2802	2802
1	2	1000	-1	500000	149810.7372	142.86667	234.90667	1116.66667	152	1101.66667	1110.66667	1116
1	2	1000	-1	1048576	197083.1691	187.95	144.85	214	148	195	207	213
1	2	1000	-1	1048576	197316.4957	188.18	143.67	207	142	179	202	206
1	2	1000	-1	1048576	132696.3907	126.55	214.41	784	157	751	774	783
1	2	1000	-1	1048576	175698.6851	167.56	167.64333	401.66667	149	375	394.33333	400.66667
1	2	1000	-1	2000000	86206.89655	82.21	346.03	515	354	489	494	511
1	2	1000	-1	2000000	95693.7799	91.26	312.08	385	328	364	375	382
1	2	1000	-1	2000000	101584.7217	96.88	294.96	500	315	459	490	495
1	2	1000	-1	2000000	94495.1327	90.11667	317.69	466.66667	332.33333	437.33333	453	462.66667
1	2	1000	-1	5000000	109649.1228	104.57	267.25	604	273	520	585	586
1	2	1000	-1	5000000	64028.68485	61.06	325.94	3592	281	820	3570	3590
1	2	1000	-1	5000000	176865.9356	168.67	155.47	277	152	209	253	273
1	2	1000	-1	5000000	116847.9144	111.43333	249.55333	1491	235.33333	516.33333	1469.33333	1483
1	2	1000	-1	10000000	149700.5988	142.77	186.99	615	152	596	609	615
1	2	1000	-1	10000000	149521.5311	142.59	195.11	610	164	594	607	610
1	2	1000	-1	10000000	142694.0639	136.08	203.23	333	204	306	325	332
1	2	1000	-1	10000000	147305.3979	140.48	195.11	519.33333	173.33333	498.66667	513.66667	519
1	5	100	-1	500000	134084.2049	12.79	1.07	33322	1	4	11	21
1	5	100	-1	500000	1074806.535	102.5	31.61	329	1	239	314	327
1	5	100	-1	500000	1072041.166	102.24	35.19	201	28	138	181	198
1	5	100	-1	500000	760310.6354	72.51	22.62333	11284	10	127	168.66667	182
1	5	100	-1	1048576	1006238.68	95.96	95.26	404	6	270	287	295
1	5	100	-1	1048576	1064282.673	101.5	34.21	225	14	116	212	224
1	5	100	-1	1048576	1029866.117	98.22	83.17	333	1	299	323	333
1	5	100	-1	1048576	1033462.49	98.56	70.88	320.66667	7	228.33333	274	284
1	5	100	-1	2000000	874737.5787	83.42	150.13	654	54	608	641	652
1	5	100	-1	2000000	1012145.749	96.53	88.36	303	31	263	286	290
1	5	100	-1	2000000	1079214.332	102.92	9.16	140	1	59	85	98
1	5	100	-1	2000000	988699.2199	94.29	82.55	365.66667	28.66667	310	337.33333	346.66667
1	5	100	-1	5000000	1121076.233	106.91	18.47	137	3	71	79	81
1	5	100	-1	5000000	1061571.125	101.24	38.78	162	4	139	156	160
1	5	100	-1	5000000	1098177.026	104.73	13.96	136	1	83	111	117
1	5	100	-1	5000000	1093608.128	104.29333	23.73667	145	2.66667	97.66667	115.33333	119.33333
1	5	100	-1	10000000	1135331.517	108.27	15.84	135	1	89	103	119
1	5	100	-1	10000000	1006036.217	95.94	97.44	375	3	344	361	374
1	5	100	-1	10000000	1062473.438	101.33	49.8	235	2	208	220	234
1	5	100	-1	10000000	1067947.057	101.84667	54.36	248.33333	2	213.66667	228	242.33333
1	5	500	-1	500000	270635.9946	129.05	213.99	260	217	242	251	259
1	5	500	-1	500000	247831.4746	118.18	236.1	496	229	449	483	494
1	5	500	-1	500000	234466.5885	111.8	250.8	783	229	684	767	781
1	5	500	-1	500000	250978.0192	119.67667	233.63	513	225	458.33333	500.33333	511.33333
1	5	500	-1	1048576	265181.6494	126.45	220.71	297	229	266	280	295
1	5	500	-1	1048576	228206.2985	108.82	261.39	738	235	709	734	737
1	5	500	-1	1048576	244678.2481	116.67	242.29	501	231	386	480	498
1	5	500	-1	1048576	246022.0653	117.31333	241.46333	512	231.66667	453.66667	498	510
1	5	500	-1	2000000	248941.9965	118.7	239.4	704	210	641	696	702
1	5	500	-1	2000000	251382.6043	119.87	232.6	425	227	367	415	424
1	5	500	-1	2000000	253936.0081	121.09	233.17	565	217	513	558	564
1	5	500	-1	2000000	251420.203	119.88667	235.05667	564.66667	218	507	556.33333	563.33333
1	5	500	-1	5000000	279563.8803	133.31	203.75	275	202	254	271	274
1	5	500	-1	5000000	267522.7394	127.56	219.05	299	223	264	284	297
1	5	500	-1	5000000	268312.3155	127.94	217.25	276	219	262	273	275
1	5	500	-1	5000000	271799.6451	129.60333	213.35	283.33333	214.66667	260	276	282
1	5	500	-1	10000000	211104.0743	100.66	283.19	815	238	803	813	814
1	5	500	-1	10000000	255754.4757	121.95	226.13	290	225	278	289	289
1	5	500	-1	10000000	257069.4087	122.58	224.63	417	221	393	413	416
1	5	500	-1	10000000	241309.3196	115.06333	244.65	507.33333	228	491.33333	505	506.33333
1	5	1000	-1	500000	138121.547	131.72	213.9	302	213	250	282	300
1	5	1000	-1	500000	142571.9989	135.97	206.64	282	206	263	273	280
1	5	1000	-1	500000	133582.6877	127.39	222.13	458	205	442	456	458
1	5	1000	-1	500000	138092.0778	131.69333	214.22333	347.33333	208	318.33333	337	346
1	5	1000	-1	1048576	139004.7262	132.57	213.93	318	213	252	302	314
1	5	1000	-1	1048576	141442.7157	134.89	208.14	284	205	250	265	281
1	5	1000	-1	1048576	127291.2424	121.39	235.81	747	208	717	743	747
1	5	1000	-1	1048576	135912.8947	129.61667	219.29333	449.66667	208.66667	406.33333	436.66667	447.33333
1	5	1000	-1	2000000	140056.0224	133.57	213	342	216	321	340	341
1	5	1000	-1	2000000	145306.5969	138.58	203.46	302	209	253	281	300
1	5	1000	-1	2000000	144466.9171	137.77	203.75	277	208	241	261	275
1	5	1000	-1	2000000	143276.5121	136.64	206.73667	307	211	271.66667	294	305.33333
1	5	1000	-1	5000000	142857.1429	136.24	208.41	322	210	272	308	321
1	5	1000	-1	5000000	118091.6391	112.62	255.25	794	208	728	774	788
1	5	1000	-1	5000000	132310.135	126.18	224.46	700	201	620	682	698
1	5	1000	-1	5000000	131086.3056	125.01333	229.37333	605.33333	206.33333	540	588	602.33333
1	5	1000	-1	10000000	127681.3075	121.77	235.98	635	216	619	631	634
1	5	1000	-1	10000000	143472.023	136.83	207.34	299	210	242	283	297
1	5	1000	-1	10000000	123122.3836	117.42	236.82	600	208	471	596	599
1	5	1000	-1	10000000	131425.238	125.34	226.71333	511.33333	211.33333	444	503.33333	510
2	1	100	-1	500000	285730.6132	27.25	1004.02	3327	729	2347	3088	3298
2	1	100	-1	500000	426730.3917	40.7	654.78	1063	616	971	1039	1062
2	1	100	-1	500000	423441.7344	40.38	657.59	1459	593	1237	1414	1458
2	1	100	-1	500000	378634.2464	36.11	772.13	1949.66667	646	1518.33333	1847	1939.33333
2	1	100	-1	1048576	396447.8275	37.81	717.66	1595	635	1377	1556	1592
2	1	100	-1	1048576	442556.2046	42.21	618.06	1117	594	1023	1085	1115
2	1	100	-1	1048576	460999.4468	43.96	612.19	781	610	738	758	779
2	1	100	-1	1048576	433334.493	41.32667	649.30333	1164.33333	613	1046	1133	1162
2	1	100	-1	2000000	416285.072	39.7	670.35	1159	615	1105	1150	1158
2	1	100	-1	2000000	422689.9992	40.31	654.2	1229	621	1173	1218	1228
2	1	100	-1	2000000	435464.2048	41.53	637.47	1517	590	1390	1502	1515
2	1	100	-1	2000000	424813.092	40.51333	654.00667	1301.66667	608.66667	1222.66667	1290	1300.33333
2	1	100	-1	5000000	445434.2984	42.48	627.59	907	617	845	901	906
2	1	100	-1	5000000	426511.985	40.68	648.28	1464	592	1434	1453	1462
2	1	100	-1	5000000	451385.7543	43.05	601.69	1109	610	1048	1084	1104
2	1	100	-1	5000000	441110.6792	42.07	625.85333	1160	606.33333	1109	1146	1157.33333
2	1	100	-1	10000000	420698.3593	40.12	661.13	1373	602	1278	1354	1372
2	1	100	-1	10000000	431629.8343	41.16	646.32	1506	605	1330	1484	1504
2	1	100	-1	10000000	424268.1375	40.46	659.83	1246	608	1140	1220	1244
2	1	100	-1	10000000	425532.1103	40.58	655.76	1375	605	1249.33333	1352.66667	1373.33333
2	1	500	-1	500000	118497.4523	56.5	517.19	635	514	615	626	633
2	1	500	-1	500000	102333.1969	48.8	601.77	1075	546	896	1033	1072
2	1	500	-1	500000	108624.8099	51.8	564.13	854	536	833	848	854
2	1	500	-1	500000	109818.4864	52.36667	561.03	854.66667	532	781.33333	835.66667	853
2	1	500	-1	1048576	98019.99608	46.74	630.02	1582	564	1352	1552	1580
2	1	500	-1	1048576	110168.5579	52.53	557.53	992	537	969	988	991
2	1	500	-1	1048576	91759.95596	43.75	678.06	1417	566	1234	1354	1408
2	1	500	-1	1048576	99982.83664	47.67333	621.87	1330.33333	555.66667	1185	1298	1326.33333
2	1	500	-1	2000000	113921.1666	54.32	536.7	1079	515	1033	1064	1078
2	1	500	-1	2000000	107135.2046	51.09	574.61	1015	529	961	1011	1014
2	1	500	-1	2000000	112145.3404	53.48	548.38	879	533	843	872	878
2	1	500	-1	2000000	111067.2372	52.96333	553.23	991	525.66667	945.66667	982.33333	990
2	1	500	-1	5000000	105340.7774	50.23	584.48	1166	541	1013	1161	1165
2	1	500	-1	5000000	90711.17562	43.25	683.41	2647	516	2628	2640	2645
2	1	500	-1	5000000	108695.6522	51.83	563.62	756	555	735	751	753
2	1	500	-1	5000000	101582.5351	48.43667	610.50333	1523	537.33333	1458.66667	1517.33333	1521
2	1	500	-1	10000000	110253.5832	52.57	559.07	966	532	945	962	965
2	1	500	-1	10000000	105585.4714	50.35	583.16	985	552	895	909	977
2	1	500	-1	10000000	114705.2076	54.7	536.21	756	519	733	753	756
2	1	500	-1	10000000	110181.4208	52.54	559.48	902.33333	534.33333	857.66667	874.66667	899.33333
2	1	1000	-1	500000	55722.72373	53.14	555.57	995	532	728	891	987
2	1	1000	-1	500000	53510.27397	51.03	568.58	1212	536	879	1209	1211
2	1	1000	-1	500000	57510.92708	54.85	534.5	706	533	677	695	705
