Replication Factor	Partition	Message Size	Acks	Records/sec	MB/sec	avg latency	max latency	50th	95th	99th	99.9th
1	1	10	-1	1924261.084	18.35	21.73	1157	1	30	783	1118
1	1	10	-1	2034256.886	19.4	9.06	675	0	1	368	632
1	1	10	-1	1983812.093	18.92	8.66	546	0	1	342	505
1	1	10	-1	1980776.688	18.89	13.15	792.66667	0.33333	10.66667	497.66667	751.66667
1	1	20	-1	1966645.689	37.51	0.49	135	0	1	1	6
1	1	20	-1	1897965.381	36.2	4.06	345	0	1	146	259
1	1	20	-1	1824950.726	34.81	38.03	1048	1	296	888	1032
1	1	20	-1	1896520.599	36.17333	14.19333	509.33333	0.33333	99.33333	345	432.33333
1	1	50	-1	1628664.495	77.66	0.65	134	1	1	6	12
1	1	50	-1	1575547.503	75.13	22.48	473	1	203	422	462
1	1	50	-1	1590077.914	75.82	20.49	364	1	191	304	356
1	1	50	-1	1598096.637	76.20333	14.54	323.66667	1	131.66667	244	276.66667
1	1	100	-1	975990.6305	93.08	110.82	759	59	691	746	757
1	1	100	-1	962834.585	91.82	117.9	617	1	572	590	608
1	1	100	-1	1135847.342	108.32	9.6	133	1	46	72	97
1	1	100	-1	1024890.853	97.74	79.44	503	20.33333	436.33333	469.33333	487.33333
1	1	200	-1	533504.0546	101.76	261.87	611	257	548	598	607
1	1	200	-1	537518.8132	102.52	255.79	684	248	638	670	682
1	1	200	-1	562556.2556	107.3	243.43	517	238	477	491	516
1	1	200	-1	544526.3745	103.86	253.69667	604	247.66667	554.33333	586.33333	601.66667
1	1	500	-1	267522.7394	127.56	218.68	460	211	418	455	459
1	1	500	-1	264340.4705	126.05	220.7	364	217	339	362	364
1	1	500	-1	280662.3632	133.83	207.23	265	207	241	258	263
1	1	500	-1	270841.8577	129.14667	215.53667	363	211.66667	332.66667	358.33333	362
1	1	1000	-1	127648.7107	121.74	223.78	735	192	483	700	735
1	1	1000	-1	147666.8636	140.83	199.9	290	203	237	269	288
1	1	1000	-1	146412.8843	139.63	200.66	264	201	231	247	263
1	1	1000	-1	140576.1529	134.06667	208.11333	429.66667	198.66667	317	405.33333	428.66667
1	2	10	-1	922628.3837	8.8	3	29392	1	1	111	288
1	2	10	-1	1951828.864	18.61	15.06	829	1	75	384	788
1	2	10	-1	2154893.764	20.55	4.34	417	0	1	152	377
1	2	10	-1	1676450.337	15.98667	7.46667	10212.66667	0.66667	25.66667	215.66667	484.33333
1	2	20	-1	2087857.024	39.82	0.54	133	1	1	1	5
1	2	20	-1	1900129.209	36.24	25.37	890	1	163	723	872
1	2	20	-1	1891074.13	36.07	17.46	822	1	40	626	803
1	2	20	-1	1959686.787	37.37667	14.45667	615	1	68	450	560
1	2	50	-1	1750700.28	83.48	1.37	132	1	1	32	80
1	2	50	-1	1792757.261	85.49	0.89	144	1	1	8	49
1	2	50	-1	1759943.682	83.92	0.67	134	1	1	2	12
1	2	50	-1	1767800.408	84.29667	0.97667	136.66667	1	1	14	47
1	2	100	-1	1328374.07	126.68	7.09	195	1	49	166	193
1	2	100	-1	1443418.014	137.66	1.04	138	1	2	6	23
1	2	100	-1	1367240.908	130.39	0.77	134	1	1	2	7
1	2	100	-1	1379677.664	131.57667	2.96667	155.66667	1	17.33333	58	74.33333
1	2	200	-1	745823.389	142.25	139.94	240	150	222	230	240
1	2	200	-1	824538.2586	157.27	61.2	173	33	150	166	172
1	2	200	-1	699300.6993	133.38	89.22	573	63	538	571	572
1	2	200	-1	756554.1156	144.3	96.78667	328.66667	82	303.33333	322.33333	328
1	2	500	-1	387596.8992	184.82	140.81	198	140	185	195	198
1	2	500	-1	374531.8352	178.59	149.37	220	149	189	210	219
1	2	500	-1	347705.146	165.8	158.49	224	160	197	203	220
1	2	500	-1	369944.6268	176.40333	149.55667	214	149.66667	190.33333	202.66667	212.33333
1	2	1000	-1	150466.446	143.5	191.97	370	178	343	367	369
1	2	1000	-1	117426.0216	111.99	249.38	374	257	344	358	370
1	2	1000	-1	80645.16129	76.91	375.51	1296	319	1283	1293	1295
1	2	1000	-1	116179.2096	110.8	272.28667	680	251.33333	656.66667	672.66667	678
1	5	10	-1	553146.2961	5.28	0.74	60001	1	1	3	8
1	5	10	-1	2022162.905	19.28	26.54	1021	1	171	651	991
1	5	10	-1	2053050.834	19.58	36.08	1611	1	121	1172	1569
1	5	10	-1	1542786.678	14.71333	21.12	20877.66667	1	97.66667	608.66667	856
1	5	20	-1	2015641.377	38.45	10.09	424	1	29	312	406
1	5	20	-1	1910146.699	36.43	21.76	771	1	110	624	750
1	5	20	-1	1938735.944	36.98	8.2	572	1	35	211	355
1	5	20	-1	1954841.34	37.28667	13.35	589	1	58	382.33333	503.66667
1	5	50	-1	1773993.259	84.59	6.96	218	1	50	144	208
1	5	50	-1	1771793.055	84.49	12.01	376	1	12	325	372
1	5	50	-1	1774308.02	84.61	1.18	136	1	2	13	43
1	5	50	-1	1773364.778	84.56333	6.71667	243.33333	1	21.33333	160.66667	207.66667
1	5	100	-1	1508295.626	143.84	1.35	140	1	2	3	11
1	5	100	-1	1362026.696	129.89	1.31	137	1	2	6	16
1	5	100	-1	1425313.569	135.93	1.34	139	1	2	6	22
1	5	100	-1	1431878.63	136.55333	1.33333	138.66667	1	2	5	16.33333
1	5	200	-1	708014.7267	135.04	74.3	829	2	805	827	829
1	5	200	-1	941974.3783	179.67	27.57	178	2	149	174	177
1	5	200	-1	952743.9024	181.72	22.91	169	5	104	158	168
1	5	200	-1	867577.6692	165.47667	41.59333	392	3	352.66667	386.33333	391.33333
1	5	500	-1	341646.7373	162.91	167.21	494	139	440	485	492
1	5	500	-1	308451.5731	147.08	190.96	541	152	509	532	540
1	5	500	-1	432152.1175	206.07	113.44	165	124	151	152	164
1	5	500	-1	360750.1426	172.02	157.20333	400	138.33333	366.66667	389.66667	398.66667
1	5	1000	-1	186428.0388	177.79	147.8	261	146	226	249	258
1	5	1000	-1	135062.1286	128.81	211.73	576	156	553	571	575
1	5	1000	-1	92644.06152	88.35	320.94	430	330	408	422	429
1	5	1000	-1	138044.743	131.65	226.82333	422.33333	210.66667	395.66667	414	420.66667
2	1	10	-1	1628028.132	15.53	203.79	1901	2	1689	1823	1878
2	1	10	-1	1725923.369	16.46	139.11	2870	2	1043	2500	2826
2	1	10	-1	1953888.238	18.63	32.89	1165	2	234	860	1135
2	1	10	-1	1769279.913	16.87333	125.26333	1978.66667	2	988.66667	1727.66667	1946.33333
2	1	20	-1	1633453.12	31.16	45.54	796	2	412	707	788
2	1	20	-1	1661019.201	31.68	42.48	990	2	464	673	799
2	1	20	-1	1736472.876	33.12	13.61	509	2	18	386	497
2	1	20	-1	1676981.733	31.98667	33.87667	765	2	298	588.66667	694.66667
2	1	50	-1	782227.7847	37.3	598.66	902	662	836	892	901
2	1	50	-1	826993.0533	39.43	368.22	634	363	584	611	632
2	1	50	-1	719735.1375	34.32	494.56	2438	545	2377	2431	2437
2	1	50	-1	776318.6585	37.01667	487.14667	1324.66667	523.33333	1265.66667	1311.33333	1323.33333
2	1	100	-1	439174.3522	41.88	636.36	1759	572	1719	1741	1758
2	1	100	-1	308261.4057	29.4	900.82	2774	672	2446	2709	2762
2	1	100	-1	263768.7276	25.15	1072.7	1976	1106	1724	1917	1969
2	1	100	-1	337068.1618	32.14333	869.96	2169.66667	783.33333	1963	2122.33333	2163
2	1	200	-1	140670.718	26.83	1071.15	2191	1153	1766	2137	2188
2	1	200	-1	143323.9695	27.34	1045.91	1612	1180	1350	1480	1590
2	1	200	-1	124094.113	23.67	1231.91	3863	896	3623	3835	3858
2	1	200	-1	136029.6002	25.94667	1116.32333	2555.33333	1076.33333	2246.33333	2484	2545.33333
2	1	500	-1	68105.97289	32.48	906.89	1915	841	1711	1889	1900
2	1	500	-1	42520.6225	20.28	1504.16	9629	1024	9192	9577	9622
2	1	500	-1	105775.3332	50.44	579.92	1277	537	1164	1270	1275
2	1	500	-1	72133.9762	34.4	996.99	4273.66667	800.66667	4022.33333	4245.33333	4265.66667
2	1	1000	-1	37105.75139	35.39	847.73	2457	795	2041	2411	2455
2	1	1000	-1	47267.91454	45.08	655.67	835	664	779	814	833
2	1	1000	-1	52262.98735	49.84	594.52	1475	488	1252	1458	1474
2	1	1000	-1	45545.55109	43.43667	699.30667	1589	649	1357.33333	1561	1587.33333
2	2	10	-1	744512.9396	7.1	288.54	36179	2	1484	4954	5186
2	2	10	-1	1617494.824	15.43	35.09	1282	2	123	962	1263
2	2	10	-1	1761679.938	16.8	7.7	612	2	4	264	579
2	2	10	-1	1374562.567	13.11	110.44333	12691	2	537	2060	2342.66667
2	2	20	-1	1755248.192	33.48	2.24	144	2	4	9	23
2	2	20	-1	1558117.794	29.72	24.36	562	2	218	463	551
2	2	20	-1	1654314.452	31.55	8.05	331	2	41	225	315
2	2	20	-1	1655893.479	31.58333	11.55	345.66667	2	87.66667	232.33333	296.33333
2	2	50	-1	1246261.216	59.43	21.32	216	2	66	78	90
2	2	50	-1	1154068.09	55.03	49.75	527	3	368	480	525
2	2	50	-1	1129050.469	53.84	66.13	442	2	126	188	233
2	2	50	-1	1176459.925	56.1	45.73333	395	2.33333	186.66667	248.66667	282.66667
2	2	100	-1	602119.4605	57.42	442.84	994	319	560	718	728
2	2	100	-1	590249.0851	56.29	448.77	1232	558	1214	1222	1230
2	2	100	-1	610948.1916	58.26	430.44	1055	458	954	1041	1054
2	2	100	-1	601105.5791	57.32333	440.68333	1093.66667	445	909.33333	993.66667	1004
2	2	200	-1	282773.4419	53.93	514.05	1400	508	1129	1273	1397
2	2	200	-1	383847.6892	73.21	371.07	652	369	563	620	650
2	2	200	-1	384615.3846	73.36	378.96	612	377	559	589	601
2	2	200	-1	350412.1719	66.83333	421.36	888	418	750.33333	827.33333	882.66667
2	2	500	-1	150647.7855	71.83	404.34	1290	287	1248	1282	1288
2	2	500	-1	77960.55196	37.17	806.48	7200	363	7131	7160	7161
2	2	500	-1	142734.7987	68.06	420.56	1217	365	524	553	559
2	2	500	-1	123781.0454	59.02	543.79333	3235.66667	338.33333	2967.66667	2998.33333	3002.66667
2	2	1000	-1	77112.89328	73.54	396.08	786	388	676	780	785
2	2	1000	-1	85528.56654	81.57	355.86	497	323	475	489	496
2	2	1000	-1	75007.50075	71.53	406.03	1178	359	1076	1142	1175
2	2	1000	-1	79216.32019	75.54667	385.99	820.33333	356.66667	742.33333	803.66667	818.66667
2	5	10	-1	1742524.57	16.62	14.26	2039	3	12	77	199
2	5	10	-1	1872238.448	17.86	21.83	1303	3	53	869	1261
