Replication Factor	Partition	Message Size	Acks	Batch Size	Buffer Memory	Records/sec	MB/sec	avg latency	max latency	50th	95th	99th	99.9th
1	1	100	-1	16384	33554432	662427.133	63.17	313.37	1211	322	899	1176	1207
1	1	100	-1	16384	33554432	1036484.245	98.85	27.06	179	2	138	162	172
1	1	100	-1	16384	33554432	716743.1193	68.35	300.21	1123	259	1064	1109	1122
1	1	100	-1	16384	33554432	805218.1659	76.79	213.54667	837.66667	194.33333	700.33333	815.66667	833.66667
1	1	100	-1	16384	100000000	1000000	95.37	121.33	525	61	484	517	524
1	1	100	-1	16384	100000000	1184272.856	112.94	6.86	134	1	50	65	68
1	1	100	-1	16384	100000000	1127904.354	107.57	14.55	144	1	85	123	142
1	1	100	-1	16384	100000000	1104059.07	105.29333	47.58	267.66667	21	206.33333	235	244.66667
1	1	100	-1	16384	200000000	1106194.69	105.49	23.38	218	1	170	207	216
1	1	100	-1	16384	200000000	886367.6653	84.53	320.86	632	292	600	615	630
1	1	100	-1	16384	200000000	1092657.343	104.2	33.73	209	2	149	195	207
1	1	100	-1	16384	200000000	1028406.566	98.07333	125.99	353	98.33333	306.33333	339	351
1	1	100	-1	200000	33554432	1161170.46	110.74	38.96	699	1	568	664	697
1	1	100	-1	200000	33554432	1206854.936	115.09	22.97	384	1	278	355	381
1	1	100	-1	200000	33554432	1240387.001	118.29	19.07	568	1	174	320	421
1	1	100	-1	200000	33554432	1202804.132	114.70667	27	550.33333	1	340	446.33333	499.66667
1	1	100	-1	200000	100000000	1311991.603	125.12	12.06	318	1	83	280	315
1	1	100	-1	200000	100000000	1254390.366	119.63	8.49	221	1	78	175	218
1	1	100	-1	200000	100000000	1229407.426	117.25	17.57	366	1	163	328	364
1	1	100	-1	200000	100000000	1265263.132	120.66667	12.70667	301.66667	1	108	261	299
1	1	100	-1	200000	200000000	1248439.451	119.06	14.44	313	1	129	287	310
1	1	100	-1	200000	200000000	1378549.766	131.47	0.84	136	1	2	3	10
1	1	100	-1	200000	200000000	1355748.373	129.29	2.94	142	1	3	86	119
1	1	100	-1	200000	200000000	1327579.196	126.60667	6.07333	197	1	44.66667	125.33333	146.33333
1	1	100	-1	500000	33554432	1247504.99	118.97	13.01	345	1	28	314	343
1	1	100	-1	500000	33554432	841325.9297	80.24	114.6	2066	1	1894	2042	2065
1	1	100	-1	500000	33554432	1389274.799	132.49	3.22	138	1	4	92	133
