Replication Factor	Partition	Message Size	Acks	Batch Size	Linger ms	Records/sec	MB/sec	avg latency	max latency	50th	95th	99th	99.9th
1	1	100	-1	16384	0	651041.6667	62.09	379.07	1178	314	854	1128	1174
1	1	100	-1	16384	0	1107665.042	105.64	12.43	136	1	78	99	120
1	1	100	-1	16384	0	952925.4812	90.88	154.75	472	183	397	459	471
1	1	100	-1	16384	0	903877.3967	86.20333	182.08333	595.33333	166	443	562	588.33333
1	1	100	-1	16384	2	911244.7603	86.9	128.95	786	80	745	783	785
1	1	100	-1	16384	2	1069289.991	101.98	45.83	433	2	391	422	431
1	1	100	-1	16384	2	1090988.436	104.04	36.86	329	1	272	313	327
1	1	100	-1	16384	2	1023841.062	97.64	70.54667	516	27.66667	469.33333	506	514.33333
1	1	100	-1	16384	5	983090.8376	93.75	96.62	733	35	697	729	733
1	1	100	-1	16384	5	1167133.52	111.31	16.8	137	1	76	91	101
1	1	100	-1	16384	5	1122334.456	107.03	9.84	146	1	38	45	47
1	1	100	-1	16384	5	1090852.938	104.03	41.08667	338.66667	12.33333	270.33333	288.33333	293.66667
1	1	100	-1	200000	0	1383508.578	131.94	2.34	290	1	2	83	147
1	1	100	-1	200000	0	1245330.012	118.76	5.19	381	1	10	140	243
1	1	100	-1	200000	0	1426940.639	136.08	0.85	136	1	1	4	13
1	1	100	-1	200000	0	1351926.41	128.92667	2.79333	269	1	4.33333	75.66667	134.33333
1	1	100	-1	200000	2	1595405.233	152.15	2.53	299	1	3	25	155
1	1	100	-1	200000	2	1587805.653	151.42	15.34	235	1	173	221	232
1	1	100	-1	200000	2	1474491.301	140.62	18.34	310	1	234	287	309
1	1	100	-1	200000	2	1552567.395	148.06333	12.07	281.33333	1	136.66667	177.66667	232
1	1	100	-1	200000	5	1607200.257	153.27	6.71	146	1	33	136	145
1	1	100	-1	200000	5	1392369.813	132.79	33.32	526	2	388	512	525
1	1	100	-1	200000	5	1121327.652	106.94	80.15	1312	1	1216	1291	1309
1	1	100	-1	200000	5	1373632.574	131	40.06	661.33333	1.33333	545.66667	646.33333	659.66667
1	1	100	-1	500000	0	1348799.568	128.63	1.3	235	1	2	22	87
1	1	100	-1	500000	0	1381978.994	131.8	0.77	135	1	1	3	17
1	1	100	-1	500000	0	1120824.927	106.89	40.17	739	1	617	699	737
1	1	100	-1	500000	0	1283867.83	122.44	14.08	369.66667	1	206.66667	241.33333	280.33333
