Replication Factor	Partition	Message Size	Acks	Batch Size	Max Request Size	Records/sec	MB/sec	avg latency	max latency	50th	95th	99th	99.9th
1	1	100	-1	16384	1048576	617817.8673	58.92	349.75	1017	309	833	992	1016
1	1	100	-1	16384	1048576	773754.2556	73.79	264.26	1059	177	1018	1051	1058
1	1	100	-1	16384	1048576	1071811.361	102.22	11.5	150	1	72	118	150
1	1	100	-1	16384	1048576	821127.8281	78.31	208.50333	742	162.33333	641	720.33333	741.33333
1	1	100	-1	16384	5000000	1112099.644	106.06	42.92	224	2	175	217	222
1	1	100	-1	16384	5000000	1156336.725	110.28	24	185	1	143	167	184
1	1	100	-1	16384	5000000	1053074.979	100.43	40.7	472	1	402	469	471
1	1	100	-1	16384	5000000	1107170.449	105.59	35.87333	293.66667	1.33333	240	284.33333	292.33333
1	1	100	-1	16384	10000000	917936.4788	87.54	129.35	869	13	814	861	867
1	1	100	-1	16384	10000000	949126.8033	90.52	83.16	439	2	295	394	438
1	1	100	-1	16384	10000000	1135589.371	108.3	10.47	137	1	71	126	136
1	1	100	-1	16384	10000000	1000884.218	95.45333	74.32667	481.66667	5.33333	393.33333	460.33333	480.33333
1	1	100	-1	200000	1048576	1325556.734	126.41	14.92	316	1	156	282	314
1	1	100	-1	200000	1048576	1075731.497	102.59	42.89	829	1	628	792	825
1	1	100	-1	200000	1048576	1310959.622	125.02	14.79	278	1	132	244	276
1	1	100	-1	200000	1048576	1237415.951	118.00667	24.2	474.33333	1	305.33333	439.33333	471.66667
1	1	100	-1	200000	5000000	1171234.481	111.7	36.61	675	1	526	641	673
1	1	100	-1	200000	5000000	1297690.112	123.76	8.21	236	1	53	188	233
1	1	100	-1	200000	5000000	1286008.23	122.64	1.36	141	1	1	26	81
1	1	100	-1	200000	5000000	1251644.274	119.36667	15.39333	350.66667	1	193.33333	285	329
1	1	100	-1	200000	10000000	1237011.381	117.97	19.54	384	1	244	354	382
1	1	100	-1	200000	10000000	1356116.084	129.33	4.84	158	1	8	132	157
1	1	100	-1	200000	10000000	1092179.991	104.16	41.97	787	1	620	759	783
1	1	100	-1	200000	10000000	1228435.818	117.15333	22.11667	443	1	290.66667	415	440.66667
1	1	100	-1	500000	1048576	1203659.124	114.79	9.77	261	1	51	238	260
1	1	100	-1	500000	1048576	1201056.93	114.54	11.63	374	1	58	297	371
1	1	100	-1	500000	1048576	1218620.522	116.22	4.77	214	1	2	165	213
1	1	100	-1	500000	1048576	1207778.858	115.18333	8.72333	283	1	37	233.33333	281.33333
1	1	100	-1	500000	5000000	1306165.099	124.57	5.14	136	1	38	108	132
1	1	100	-1	500000	5000000	1371742.112	130.82	1.01	132	1	1	9	26
1	1	100	-1	500000	5000000	1304121.022	124.37	8.04	272	1	43	198	270
1	1	100	-1	500000	5000000	1327342.745	126.58667	4.73	180	1	27.33333	105	142.66667
1	1	100	-1	500000	10000000	1011531.459	96.47	81.77	1443	1	1371	1426	1442
1	1	100	-1	500000	10000000	1251251.251	119.33	14.89	322	1	129	300	320
1	1	100	-1	500000	10000000	1397038.279	133.23	1.64	136	1	5	28	42
1	1	100	-1	500000	10000000	1219940.33	116.34333	32.76667	633.66667	1	501.66667	584.66667	601.33333
1	1	500	-1	16384	1048576	265957.4468	126.82	218.88	531	208	516	527	530
1	1	500	-1	16384	1048576	288683.6028	137.66	198.16	249	202	228	241	248
1	1	500	-1	16384	1048576	215192.5974	102.61	278.1	1321	206	1308	1316	1320
1	1	500	-1	16384	1048576	256611.2157	122.36333	231.71333	700.33333	205.33333	684	694.66667	699.33333
1	1	500	-1	16384	5000000	283125.7078	135	204.86	250	206	245	249	250
