Replication Factor	Partition	Message Size	Acks	Buffer Memory	Linger ms	Records/sec	MB/sec	avg latency	max latency	50th	95th	99th	99.9th
1	1	100	-1	33554432	0	695797.3838	66.36	320	1087	309	847	1058	1083
1	1	100	-1	33554432	0	1026483.268	97.89	78.2	354	3	304	346	354
1	1	100	-1	33554432	0	940203.0839	89.66	131.87	423	99	385	406	423
1	1	100	-1	33554432	0	887494.5787	84.63667	176.69	621.33333	137	512	603.33333	620
1	1	100	-1	33554432	2	1163061.177	110.92	6.92	173	1	38	44	55
1	1	100	-1	33554432	2	1151277.918	109.79	10.3	144	1	47	68	80
1	1	100	-1	33554432	2	1098177.026	104.73	40.94	306	2	236	281	304
1	1	100	-1	33554432	2	1137505.374	108.48	19.38667	207.66667	1.33333	107	131	146.33333
1	1	100	-1	33554432	5	1048657.718	100.01	63.28	479	10	447	474	478
1	1	100	-1	33554432	5	904813.6084	86.29	157.56	861	99	807	846	859
1	1	100	-1	33554432	5	1041232.82	99.3	42.62	255	1	204	242	253
1	1	100	-1	33554432	5	998234.7154	95.2	87.82	531.66667	36.66667	486	520.66667	530
1	1	100	-1	100000000	0	946073.7938	90.22	123.77	519	15	377	401	489
1	1	100	-1	100000000	0	1087665.869	103.73	57.86	280	1	259	275	278
1	1	100	-1	100000000	0	1064735.945	101.54	52.6	392	1	337	376	390
1	1	100	-1	100000000	0	1032825.203	98.49667	78.07667	397	5.66667	324.33333	350.66667	385.66667
1	1	100	-1	100000000	2	958956.6552	91.45	142.58	550	86	510	545	550
1	1	100	-1	100000000	2	911410.864	86.92	299.55	766	221	735	755	764
1	1	100	-1	100000000	2	1216249.088	115.99	1.08	135	1	5	14	15
1	1	100	-1	100000000	2	1028872.202	98.12	147.73667	483.66667	102.66667	416.66667	438	443
1	1	100	-1	100000000	5	1031565.917	98.38	77.09	605	2	296	454	467
1	1	100	-1	100000000	5	1075731.497	102.59	26.78	216	1	114	133	135
1	1	100	-1	100000000	5	1092896.175	104.23	38.67	195	1	163	181	193
1	1	100	-1	100000000	5	1066731.196	101.73333	47.51333	338.66667	1.33333	191	256	265
1	1	100	-1	200000000	0	989707.0467	94.39	149.45	684	19	569	666	682
1	1	100	-1	200000000	0	1164958.062	111.1	40.76	230	1	198	221	229
1	1	100	-1	200000000	0	1125112.511	107.3	17.57	141	1	86	106	115
1	1	100	-1	200000000	0	1093259.206	104.26333	69.26	351.66667	7	284.33333	331	342
1	1	100	-1	200000000	2	1030502.885	98.28	66.08	386	1	301	370	385
1	1	100	-1	200000000	2	1082016.879	103.19	51.42	400	1	301	372	396
1	1	100	-1	200000000	2	1014816.318	96.78	77.93	344	10	311	338	344
1	1	100	-1	200000000	2	1042445.361	99.41667	65.14333	376.66667	4	304.33333	360	375
1	1	100	-1	200000000	5	897827.258	85.62	393.66	916	368	803	821	836
1	1	100	-1	200000000	5	853825.1366	81.43	345.12	871	304	803	824	869
1	1	100	-1	200000000	5	982318.2711	93.68	79.63	670	1	557	654	669
1	1	100	-1	200000000	5	911323.5553	86.91	272.80333	819	224.33333	721	766.33333	791.33333
1	1	500	-1	33554432	0	289603.2436	138.09	200.24	272	201	243	259	270
1	1	500	-1	33554432	0	237079.1844	113.05	251.22	561	228	557	560	561
1	1	500	-1	33554432	0	284252.4161	135.54	203.21	270	212	250	259	269
1	1	500	-1	33554432	0	270311.6147	128.89333	218.22333	367.66667	213.66667	350	359.33333	366.66667
1	1	500	-1	33554432	2	275558.005	131.4	210.99	285	211	265	270	284
1	1	500	-1	33554432	2	275103.1637	131.18	209.5	481	207	460	476	481
1	1	500	-1	33554432	2	270343.336	128.91	213.88	495	198	487	492	495
1	1	500	-1	33554432	2	273668.1682	130.49667	211.45667	420.33333	205.33333	404	412.66667	420
1	1	500	-1	33554432	5	266240.6816	126.95	219.78	273	225	253	264	272
1	1	500	-1	33554432	5	288184.438	137.42	203.73	345	197	288	320	343
1	1	500	-1	33554432	5	272479.564	129.93	211.7	274	217	256	264	273
1	1	500	-1	33554432	5	275634.8946	131.43333	211.73667	297.33333	213	265.66667	282.66667	296
1	1	500	-1	100000000	0	272108.8435	129.75	577.27	735	612	721	732	734
1	1	500	-1	100000000	0	257665.5501	122.86	614.48	820	670	788	814	820
1	1	500	-1	100000000	0	258197.7795	123.12	624.82	1037	627	1023	1033	1037
1	1	500	-1	100000000	0	262657.3911	125.24333	605.52333	864	636.33333	844	859.66667	863.66667
1	1	500	-1	100000000	2	259538.0223	123.76	614.59	793	685	769	789	793
1	1	500	-1	100000000	2	247218.7886	117.88	646.42	899	725	851	898	899
1	1	500	-1	100000000	2	212314.2251	101.24	665.62	1509	665	1204	1442	1504
1	1	500	-1	100000000	2	239690.3453	114.29333	642.21	1067	691.66667	941.33333	1043	1065.33333
1	1	500	-1	100000000	5	119717.4668	57.09	1362.66	1885	1557	1831	1879	1884
1	1	500	-1	100000000	5	148038.49	70.59	1083.47	1478	1235	1430	1446	1477
1	1	500	-1	100000000	5	134680.1347	64.22	1255.32	2611	1147	2567	2603	2611
1	1	500	-1	100000000	5	134145.3638	63.96667	1233.81667	1991.33333	1313	1942.66667	1976	1990.66667
1	1	500	-1	200000000	0	172532.7812	82.27	1509.5	2334	1792	2251	2311	2330
1	1	500	-1	200000000	0	173010.3806	82.5	1530.67	2439	1913	2341	2393	2434
1	1	500	-1	200000000	0	176118.3515	83.98	1527.37	2360	1818	2321	2345	2358
1	1	500	-1	200000000	0	173887.1711	82.91667	1522.51333	2377.66667	1841	2304.33333	2349.66667	2374
1	1	500	-1	200000000	2	171174.2554	81.62	1508.95	2426	1770	2364	2417	2425
1	1	500	-1	200000000	2	164419.5988	78.4	1594.98	2621	1884	2545	2605	2619
1	1	500	-1	200000000	2	171115.6742	81.59	1577.14	2413	1884	2376	2405	2411
1	1	500	-1	200000000	2	168903.1761	80.53667	1560.35667	2486.66667	1846	2428.33333	2475.66667	2485
1	1	500	-1	200000000	5	169865.806	81	1578.51	2400	1912	2365	2388	2400
1	1	500	-1	200000000	5	166777.8519	79.53	1643.03	2524	1869	2415	2502	2523
1	1	500	-1	200000000	5	167785.2349	80.01	1572.97	2423	1874	2386	2410	2419
1	1	500	-1	200000000	5	168142.9643	80.18	1598.17	2449	1885	2388.66667	2433.33333	2447.33333
1	1	1000	-1	33554432	0	84090.14464	80.19	349.27	633	351	578	607	632
1	1	1000	-1	33554432	0	89094.79686	84.97	337.87	799	326	715	777	797
1	1	1000	-1	33554432	0	83850.41087	79.97	355.4	586	358	450	580	585
1	1	1000	-1	33554432	0	85678.45079	81.71	347.51333	672.66667	345	581	654.66667	671.33333
1	1	1000	-1	33554432	2	85748.58515	81.78	350.86	680	354	534	616	676
1	1	1000	-1	33554432	2	82277.43953	78.47	368.58	664	359	519	656	663
1	1	1000	-1	33554432	2	86790.48776	82.77	347.6	560	350	503	536	557
1	1	1000	-1	33554432	2	84938.83748	81.00667	355.68	634.66667	354.33333	518.66667	602.66667	632
1	1	1000	-1	33554432	5	84774.49983	80.85	354.84	657	358	571	642	656
1	1	1000	-1	33554432	5	69890.97009	66.65	442.88	2909	273	2830	2893	2906
1	1	1000	-1	33554432	5	98697.197	94.12	306.08	661	302	538	635	656
1	1	1000	-1	33554432	5	84454.22231	80.54	367.93333	1409	311	1313	1390	1406
1	1	1000	-1	100000000	0	72907.55322	69.53	1172.92	2921	872	2888	2914	2920
1	1	1000	-1	100000000	0	95057.03422	90.65	839.93	1235	938	1147	1208	1234
1	1	1000	-1	100000000	0	89333.57156	85.2	897.75	1235	993	1169	1210	1232
1	1	1000	-1	100000000	0	85766.053	81.79333	970.2	1797	934.33333	1734.66667	1777.33333	1795.33333
1	1	1000	-1	100000000	2	83724.04555	79.85	975.55	1418	1110	1294	1386	1413
1	1	1000	-1	100000000	2	72918.1858	69.54	1157.82	2287	1052	2245	2277	2286
1	1	1000	-1	100000000	2	87780.89888	83.71	934.61	1393	1020	1324	1374	1392
1	1	1000	-1	100000000	2	81474.37674	77.7	1022.66	1699.33333	1060.66667	1621	1679	1697
1	1	1000	-1	100000000	5	85763.29331	81.79	941.04	1507	1021	1411	1484	1506
1	1	1000	-1	100000000	5	83836.35144	79.95	965.69	1494	1110	1407	1481	1488
1	1	1000	-1	100000000	5	82061.38191	78.26	991.69	1296	1155	1230	1263	1292
1	1	1000	-1	100000000	5	83887.00889	80	966.14	1432.33333	1095.33333	1349.33333	1409.33333	1428.66667
1	1	1000	-1	200000000	0	79668.57871	75.98	1783.28	2593	2064	2526	2562	2588
1	1	1000	-1	200000000	0	83794.20144	79.91	1777.07	3155	2081	3001	3125	3154
1	1	1000	-1	200000000	0	85338.79502	81.39	1670.24	2616	2000	2542	2598	2611
1	1	1000	-1	200000000	0	82933.85839	79.09333	1743.53	2788	2048.33333	2689.66667	2761.66667	2784.33333
1	1	1000	-1	200000000	2	63307.16637	60.37	1937.61	4429	2059	4307	4401	4415
1	1	1000	-1	200000000	2	102564.1026	97.81	1301.03	2073	1476	2022	2057	2072
