Replication Factor	Partition	Message Size	Acks	Linger Ms	Max Request Size	Records/sec	MB/sec	avg latency	max latency	50th	95th	99th	99.9th
1	1	100	-1	0	1048576	684369.0118	65.27	309.45	1065	291	811	1023	1053
1	1	100	-1	0	1048576	1055966.209	100.7	31.87	185	1	160	175	184
1	1	100	-1	0	1048576	840760.0471	80.18	190.58	908	20	801	871	907
1	1	100	-1	0	1048576	860365.0893	82.05	177.3	719.33333	104	590.66667	689.66667	714.66667
1	1	100	-1	0	5000000	1103996.467	105.29	19.76	134	1	96	107	115
1	1	100	-1	0	5000000	1170960.187	111.67	9.17	134	1	58	75	91
1	1	100	-1	0	5000000	873973.0816	83.35	210.42	580	217	451	499	516
1	1	100	-1	0	5000000	1049643.245	100.10333	79.78333	282.66667	73	201.66667	227	240.66667
1	1	100	-1	0	10000000	1200768.492	114.51	0.93	142	1	3	7	12
1	1	100	-1	0	10000000	1137397.634	108.47	6.63	133	1	44	82	91
1	1	100	-1	0	10000000	1081081.081	103.1	43.32	382	3	345	377	381
1	1	100	-1	0	10000000	1139749.069	108.69333	16.96	219	1.66667	130.66667	155.33333	161.33333
1	1	100	-1	2	1048576	1082485.386	103.23	44.41	323	1	225	314	322
1	1	100	-1	2	1048576	1118818.528	106.7	38.53	220	1	167	207	219
1	1	100	-1	2	1048576	1187930.625	113.29	4.17	135	1	25	67	90
1	1	100	-1	2	1048576	1129744.846	107.74	29.03667	226	1	139	196	210.33333
1	1	100	-1	2	5000000	1120824.927	106.89	24.3	236	1	136	218	235
1	1	100	-1	2	5000000	922339.0518	87.96	139.35	345	158	293	338	344
1	1	100	-1	2	5000000	1054852.321	100.6	57.89	602	1	512	593	600
1	1	100	-1	2	5000000	1032672.1	98.48333	73.84667	394.33333	53.33333	313.66667	383	393
1	1	100	-1	2	10000000	1070434.596	102.08	68.22	361	29	322	348	359
1	1	100	-1	2	10000000	1189060.642	113.4	0.91	131	1	4	5	8
1	1	100	-1	2	10000000	1170411.985	111.62	20.54	229	1	95	214	227
1	1	100	-1	2	10000000	1143302.408	109.03333	29.89	240.33333	10.33333	140.33333	189	198
1	1	100	-1	5	1048576	1181474.48	112.67	6.92	139	1	45	77	81
1	1	100	-1	5	1048576	983284.1691	93.77	82.84	487	1	462	480	486
1	1	100	-1	5	1048576	1080380.294	103.03	42.61	224	1	193	212	222
1	1	100	-1	5	1048576	1081712.981	103.15667	44.12333	283.33333	1	233.33333	256.33333	263
1	1	100	-1	5	5000000	1118067.979	106.63	27.49	179	1	128	163	176
1	1	100	-1	5	5000000	836680.0535	79.79	176.14	1277	102	1244	1270	1276
1	1	100	-1	5	5000000	1176470.588	112.2	15.22	136	1	78	88	104
1	1	100	-1	5	5000000	1043739.54	99.54	72.95	530.66667	34.66667	483.33333	507	518.66667
1	1	100	-1	5	10000000	1123343.069	107.13	12.77	277	1	99	236	274
1	1	100	-1	5	10000000	1056859.015	100.79	38.64	246	1	201	232	245
1	1	100	-1	5	10000000	1090988.436	104.04	59.3	279	1	247	266	278
1	1	100	-1	5	10000000	1090396.84	103.98667	36.90333	267.33333	1	182.33333	244.66667	265.66667
1	1	500	-1	0	1048576	265463.2333	126.58	221.54	290	227	257	277	288
1	1	500	-1	0	1048576	259672.8123	123.82	226.07	298	227	279	290	293
1	1	500	-1	0	1048576	271444.0825	129.43	217.4	368	217	319	339	358
1	1	500	-1	0	1048576	265526.7094	126.61	221.67	318.66667	223.66667	285	302	313
1	1	500	-1	0	5000000	241662.639	115.23	247.14	696	231	629	681	694
1	1	500	-1	0	5000000	245639.8919	117.13	243.73	755	216	674	741	753
1	1	500	-1	0	5000000	262536.0987	125.19	221.58	531	214	507	528	531
1	1	500	-1	0	5000000	249946.2099	119.18333	237.48333	660.66667	220.33333	603.33333	650	659.33333
1	1	500	-1	0	10000000	215936.0829	102.97	277.32	922	222	868	908	920
1	1	500	-1	0	10000000	266098.9888	126.89	220.51	284	229	275	280	283
1	1	500	-1	0	10000000	196078.4314	93.5	311.17	1733	227	1666	1721	1731
1	1	500	-1	0	10000000	226037.8344	107.78667	269.66667	979.66667	226	936.33333	969.66667	978
1	1	500	-1	2	1048576	231749.7103	110.51	234.52	606	222	546	588	604
1	1	500	-1	2	1048576	285062.7138	135.93	200.98	258	207	243	250	255
1	1	500	-1	2	1048576	291715.2859	139.1	197.79	242	201	233	239	241
1	1	500	-1	2	1048576	269509.2367	128.51333	211.09667	368.66667	210	340.66667	359	366.66667
1	1	500	-1	2	5000000	277854.9597	132.49	210.25	287	208	266	282	287
1	1	500	-1	2	5000000	247402.2761	117.97	241.4	719	209	637	700	718
1	1	500	-1	2	5000000	286041.1899	136.4	201.64	262	207	244	254	261
1	1	500	-1	2	5000000	270432.8086	128.95333	217.76333	422.66667	208	382.33333	412	422
1	1	500	-1	2	10000000	253356.98	120.81	232.13	669	208	647	666	667
1	1	500	-1	2	10000000	259672.8123	123.82	225.29	512	205	493	507	511
1	1	500	-1	2	10000000	224719.1011	107.15	262.69	1291	199	1267	1287	1290
1	1	500	-1	2	10000000	245916.2978	117.26	240.03667	824	204	802.33333	820	822.66667
1	1	500	-1	5	1048576	266240.6816	126.95	219.84	441	201	432	439	440
1	1	500	-1	5	1048576	253228.6655	120.75	234.1	686	211	681	686	686
1	1	500	-1	5	1048576	300661.4552	143.37	191.67	265	199	242	258	264
1	1	500	-1	5	1048576	273376.9341	130.35667	215.20333	464	203.66667	451.66667	461	463.33333
1	1	500	-1	5	5000000	229726.6253	109.54	261.53	1054	209	981	1043	1053
1	1	500	-1	5	5000000	274649.8215	130.96	214.28	351	212	334	349	351
1	1	500	-1	5	5000000	266808.9648	127.22	218.89	662	178	637	659	661
1	1	500	-1	5	5000000	257061.8039	122.57333	231.56667	689	199.66667	650.66667	683.66667	688.33333
1	1	500	-1	5	10000000	293685.7562	140.04	193.82	250	206	230	249	250
1	1	500	-1	5	10000000	254971.9531	121.58	230.73	567	212	534	565	566
1	1	500	-1	5	10000000	259000.259	123.5	227.46	651	211	643	650	651
1	1	500	-1	5	10000000	269219.3228	128.37333	217.33667	489.33333	209.66667	469	488	489
1	1	1000	-1	0	1048576	112258.6439	107.06	269.71	1269	204	1253	1259	1268
1	1	1000	-1	0	1048576	141402.7149	134.85	210.36	456	195	430	450	452
1	1	1000	-1	0	1048576	79113.92405	75.45	392.99	2921	211	2916	2919	2920
1	1	1000	-1	0	1048576	110925.0943	105.78667	291.02	1548.66667	203.33333	1533	1542.66667	1546.66667
1	1	1000	-1	0	5000000	149790.2936	142.85	197.19	313	205	243	296	309
1	1	1000	-1	0	5000000	143554.4071	136.9	205.02	343	200	323	340	343
1	1	1000	-1	0	5000000	155472.6368	148.27	188.73	282	193	230	264	280
1	1	1000	-1	0	5000000	149605.7792	142.67333	196.98	312.66667	199.33333	265.33333	300	310.66667
1	1	1000	-1	0	10000000	145475.7056	138.74	202.69	291	202	242	275	290
1	1	1000	-1	0	10000000	67925.55359	64.78	461.3	3509	199	3432	3490	3504
1	1	1000	-1	0	10000000	152346.1304	145.29	193.58	286	199	238	272	285
1	1	1000	-1	0	10000000	121915.7965	116.27	285.85667	1362	200	1304	1345.66667	1359.66667
1	1	1000	-1	2	1048576	154368.6323	147.22	189.97	258	191	224	248	256
