file	Buckets	Test Type	Neighbors-Records	Records/sec	Neighbors-MB	MB/sec	Neighbors-Avg	Avg latency	Neighbors-Max	Max latency		
Batch Size	2	Validation data	1	0.9269230769	1	0.8538461538	1	0.8807692308	1	0.7961538462		
Batch Size		Test data	1	0.8796296296	1	0.8456790123	1	0.8611111111	1	0.75		
Batch Size		Cross Validation	1	0.9222222222	1	0.8740740741	1	0.8537037037	1	0.7969135802		BUCKET
Batch Size	3	Validation data	1	0.8692307692	1	0.8307692308	1	0.7653846154	1	0.6153846154		
Batch Size		Test data	1	0.8703703704	1	0.7901234568	1	0.8148148148	1	0.6234567901		
Batch Size		Cross Validation	1	0.862345679	1	0.837037037	1	0.8191358025	1	0.6666666667		
Batch Size	5	Validation data	1	0.7692307692	1	0.8153846154	1	0.7115384615	1	0.5076923077		VALIDATION DATA
Batch Size		Test data	1	0.7777777778	1	0.7901234568	1	0.7407407407	1	0.5462962963		
Batch Size		Cross Validation	1	0.8234567901	1	0.8067901235	1	0.7586419753	1	0.5611111111		
Batch Size	7	Validation data	1	0.6807692308	1	0.8038461538	1	0.6807692308	1	0.4230769231		
Batch Size		Test data	1	0.7283950617	1	0.762345679	1	0.7654320988	1	0.4475308642		TEST DATA
Batch Size		Cross Validation	1	0.7333333333	1	0.7938271605	1	0.7154320988	1	0.4808641975		
Batch Size	10	Validation data	1	0.6653846154	1	0.7769230769	1	0.6692307692	1	0.3461538462		
Batch Size		Test data	1	0.6604938272	1	0.7469135802	1	0.6759259259	1	0.3580246914		
Batch Size		Cross Validation	1	0.6586419753	1	0.7759259259	1	0.6654320988	1	0.3833333333		CROSS VALIDATION
Buffer Memory	2	Validation data	1	0.9326923077	1	0.8942307692	1	0.8894230769	4	0.8125		
Buffer Memory		Test data	1	0.9346153846	1	0.9	1	0.9269230769	4	0.85		
Buffer Memory		Cross Validation	1	0.9398128898	1	0.9004603505	1	0.9328779329	4	0.848016038		
Buffer Memory	3	Validation data	1	0.8942307692	1	0.8413461538	1	0.9038461538	1	0.7067307692		
Buffer Memory		Test data	1	0.85	1	0.8615384615	1	0.8653846154	1	0.7769230769		
Buffer Memory		Cross Validation	1	0.8711404811	1	0.8534065934	1	0.8811553312	1	0.7507514108		
Buffer Memory	5	Validation data	1	0.8365384615	1	0.8365384615	1	0.7740384615	1	0.6730769231		
Buffer Memory		Test data	1	0.8307692308	1	0.8153846154	1	0.7653846154	1	0.5961538462		
Buffer Memory		Cross Validation	1	0.8395366795	1	0.8441342441	1	0.783959014	1	0.6412087912		
Buffer Memory	7	Validation data	1	0.7644230769	1	0.7740384615	1	0.7403846154	1	0.5288461538		
Buffer Memory		Test data	1	0.7076923077	1	0.8269230769	1	0.7269230769	1	0.5076923077		
Buffer Memory		Cross Validation	1	0.7677338877	1	0.8233145233	1	0.7384466884	1	0.5516810217		
Buffer Memory	10	Validation data	1	0.6923076923	1	0.8076923077	1	0.6490384615	1	0.4423076923		
Buffer Memory		Test data	1	0.7230769231	1	0.7961538462	1	0.6884615385	1	0.45		
Buffer Memory		Cross Validation	1	0.7183605584	1	0.8240748441	1	0.6805346005	1	0.456011286		
