 	Buckets	Test Type	Neighbors	Records/sec	Neighbors	MB/sec	Neighbors	Avg latency	Neighbors	Max latency		
Batch Size	2	Validation data	1	0.9230769231	1	0.8576817781	1	0.8422586695	1	0.7961992293		
		Test data	1	0.9104895639	1	0.8703307586	1	0.8733807882	1	0.7932354852		
		Cross Validation	1	0.9290123457	1	0.8722222222	1	0.8580246914	1	0.8043209877		BUCKET
	3	Validation data	1	0.8821725868	1	0.8155472426	1	0.7885381354	1	0.6018614495		
		Test data	1	0.8530573141	1	0.8148309998	1	0.7467050553	1	0.6736819496		
		Cross Validation	1	0.8648148148	1	0.8407407407	1	0.8080246914	1	0.6685185185		
	5	Validation data	1	0.7918607321	1	0.8044276271	1	0.7531804201	1	0.5665950841		VALIDATION DATA
		Test data	1	0.8076506364	1	0.8076122148	1	0.7334565248	1	0.5417444657		
		Cross Validation	1	0.8209876543	1	0.812962963	1	0.7580246914	1	0.5641975309		
	7	Validation data	1	0.7531764657	1	0.7507922535	1	0.6868439735	1	0.452561305		
		Test data	1	0.7420587361	1	0.7966817427	1	0.7265570814	1	0.4785457599		TEST DATA
		Cross Validation	1	0.7345679012	1	0.774691358	1	0.7049382716	1	0.4796296296		
	10	Validation data	1	0.6497166253	1	0.7682872323	1	0.6326138187	1	0.4020443033		
		Test data	1	0.6563118038	1	0.7640352104	1	0.6438142747	1	0.3532519181		
		Cross Validation	1	0.662962963	1	0.7956790123	1	0.674691358	1	0.3790123457		CROSS VALIDATION
Buffer Memory	2	Validation data	1	0.9326923077	1	0.9134615385	1	0.9567217513	4	0.8316490908		
		Test data	1	0.923095147	1	0.8963811483	1	0.9347585008	4	0.8140015642		
		Cross Validation	1	0.939037719	1	0.9012325512	1	0.9367389367	4	0.8418235818		
	3	Validation data	1	0.8706518553	1	0.8653691202	1	0.8327186224	1	0.7033210287		
		Test data	1	0.8813782267	1	0.8188286195	1	0.8805914161	1	0.7561088593		
		Cross Validation	1	0.8773032373	1	0.8610929611	1	0.8927353727	1	0.7507751708		
	5	Validation data	1	0.8617913411	1	0.8242505943	1	0.7703172174	1	0.6454905041		
		Test data	1	0.8312644793	1	0.8303934407	1	0.7871077308	1	0.6151778339		
		Cross Validation	1	0.8426076626	1	0.8448975349	1	0.7885654886	1	0.6381199881		
	7	Validation data	1	0.750225413	1	0.8540879293	1	0.7783390198	1	0.507065549		
		Test data	1	0.7785423457	1	0.8108421161	1	0.7101680067	1	0.5649360738		
		Cross Validation	1	0.7816513217	1	0.8410632611	1	0.7507722008	1	0.5416661717		
	10	Validation data	1	0.7052266888	1	0.823679691	1	0.6950874926	1	0.5187921318		
		Test data	1	0.7109217609	1	0.8138451486	1	0.6237679756	1	0.4633058693		
		Cross Validation	1	0.723014553	1	0.8132788833	1	0.6774754975	1	0.4691535492		
Linger Ms	2	Validation data	5	0.953755381	1	0.9423153825	1	0.9154147205	1	0.8807922172		
		Test data	5	0.9535319071	1	0.9382480616	1	0.9166626966	1	0.8271604938		
		Cross Validation	5	0.9543209877	1	0.9469135802	1	0.9148148148	1	0.8592592593		
	3	Validation data	1	0.9040982547	1	0.9385315701	1	0.8695292733	1	0.7265389547		
		Test data	1	0.9169598511	1	0.9288650573	1	0.8514864452	1	0.7419945887		
		Cross Validation	1	0.9259259259	1	0.9290123457	1	0.8703703704	1	0.7740740741		
	5	Validation data	1	0.8882464016	1	0.9114216461	1	0.780606466	1	0.6681184778		
		Test data	1	0.8488996728	1	0.8787907953	1	0.8300550008	1	0.6361115511		
		Cross Validation	1	0.8703703704	1	0.912962963	1	0.8320987654	1	0.6290123457		
	7	Validation data	1	0.8341106888	1	0.8946208253	1	0.7532684374	1	0.5621451551		
		Test data	1	0.8359930845	1	0.8977918779	1	0.798967851	1	0.5444793759		
		Cross Validation	1	0.8444444444	1	0.9024691358	1	0.7913580247	1	0.549382716		
	10	Validation data	1	0.7947860217	1	0.8689921649	3	0.7322438898	1	0.502387639		
		Test data	1	0.7815272179	1	0.8819243019	3	0.7350199161	1	0.4702908758		
		Cross Validation	1	0.7654320988	1	0.8981481481	3	0.7296296296	1	0.474691358		
Max Request Size	2	Validation data	1	0.9115030869	1	0.8613967575	1	0.8654025378	1	0.7536130536		
		Test data	1	0.9012496305	1	0.8887701215	1	0.8579488122	1	0.7616686012		
		Cross Validation	1	0.9327160494	1	0.887037037	1	0.8592592593	1	0.7802469136		
	3	Validation data	1	0.8770273453	1	0.8546424713	1	0.8297921805	1	0.6599834759		
		Test data	1	0.8644740035	1	0.824889038	1	0.8144760254	1	0.6631934106		
		Cross Validation	1	0.8802469136	1	0.8648148148	1	0.8216049383	1	0.6944444444		
	5	Validation data	1	0.8167308546	1	0.8125773886	1	0.7460019734	3	0.5646298839		
		Test data	1	0.8161631454	1	0.8032403822	1	0.8137407726	3	0.4802670004		
		Cross Validation	1	0.8080246914	1	0.8555555556	1	0.7771604938	3	0.5327160494		
	7	Validation data	1	0.7987293325	1	0.7651542057	1	0.7315048132	1	0.4877875241		
		Test data	1	0.7940263645	1	0.837908107	1	0.7333859104	1	0.44730819		
		Cross Validation	1	0.7777777778	1	0.8450617284	1	0.7450617284	1	0.4654320988		
	10	Validation data	1	0.6928486135	1	0.7803833079	1	0.6583055517	1	0.3703100235		
		Test data	1	0.6770578399	1	0.8014935579	1	0.6533089699	1	0.4209102357		
		Cross Validation	1	0.6944444444	1	0.8265432099	1	0.6864197531	1	0.3932098765		
Message Size	2	Validation data	7	0.9336839469	1	0.7272354618	25	0.900894299	1	0.6774214876		
		Test data	7	0.9539293658	1	0.6584895991	25	0.9407766459	1	0.6510244911		
		Cross Validation	7	0.9457737888	1	0.7354827466	25	0.9192750087	1	0.6560822586		
	3	Validation data	3	0.7186111394	1	0.6254036099	1	0.6797738147	1	0.5329518379		
