 	Buckets	Test Type	Neighbors	Records/sec	Neighbors	MB/sec	Neighbors	Avg latency	Neighbors	Max latency		
Batch Size	2	Validation data	1	0.9038700515	1	0.8465908315	1	0.8008540896	1	0.7773964497		
		Test data	1	0.8930438076	1	0.8394104332	1	0.8456964344	1	0.7775727994		
		Cross Validation	1	0.9259259259	1	0.8734567901	1	0.8635802469	1	0.7851851852		BUCKET
	3	Validation data	1	0.8429134119	1	0.8323895957	1	0.8251480912	1	0.6353581282		
		Test data	1	0.854248715	1	0.8116194966	1	0.7523715823	1	0.6948931074		
		Cross Validation	1	0.8716049383	1	0.8216049383	1	0.8067901235	1	0.662345679		
	5	Validation data	1	0.8137171458	1	0.7659000214	1	0.7358855057	1	0.5672636687		VALIDATION DATA
		Test data	1	0.8306245453	1	0.7790226337	1	0.7212318181	1	0.5892433619		
		Cross Validation	1	0.8104938272	1	0.8080246914	1	0.7543209877	1	0.5654320988		
	7	Validation data	1	0.7341445651	1	0.7475474538	1	0.6946376074	1	0.4866482521		
		Test data	1	0.7127621387	1	0.7841033606	1	0.6834227017	1	0.4632436826		TEST DATA
		Cross Validation	1	0.7419753086	1	0.7913580247	1	0.7111111111	1	0.4845679012		
	10	Validation data	1	0.6733734455	1	0.8038797657	1	0.6140298723	1	0.4037127127		
		Test data	1	0.6913237925	1	0.7685351811	1	0.6717363904	1	0.3956903325		
		Cross Validation	1	0.6666666667	1	0.787037037	1	0.6604938272	1	0.3851851852		CROSS VALIDATION
Buffer Memory	2	Validation data	1	0.9281026574	1	0.8942307692	1	0.9327031725	4	0.8334775213		
		Test data	1	0.9466018357	1	0.8660844747	1	0.9194269416	4	0.8552522746		
		Cross Validation	1	0.9352064152	1	0.9012444312	1	0.9336531037	4	0.8425690526		
	3	Validation data	1	0.9096666261	1	0.8030795824	1	0.8847492615	1	0.7370640453		
		Test data	1	0.8654311114	1	0.8522448796	1	0.8713994229	1	0.77012991		
		Cross Validation	1	0.8842678943	1	0.8595782596	1	0.8788506089	1	0.7453222453		
	5	Validation data	1	0.7812932691	1	0.8665449749	1	0.797932466	1	0.5958131303		
		Test data	1	0.8499691576	1	0.8217832168	1	0.8350207399	1	0.6300919321		
		Cross Validation	1	0.8379447579	1	0.847980398	1	0.7916572617	1	0.6242025542		
	7	Validation data	1	0.7031231383	1	0.8326735706	1	0.7255216138	1	0.5292375431		
		Test data	1	0.7582353616	1	0.821070436	1	0.7464064597	1	0.5651568689		
		Cross Validation	1	0.7762073062	1	0.837959608	1	0.7461389961	1	0.5547757648		
	10	Validation data	1	0.759373853	1	0.8271882471	1	0.6736027698	1	0.5069310166		
		Test data	1	0.7053150961	1	0.7975549749	1	0.6833994139	1	0.5011401299		
		Cross Validation	1	0.712955153	1	0.8178972379	1	0.6820879121	1	0.47996139		
Linger Ms	2	Validation data	5	0.9549442745	1	0.9308140519	1	0.8968628094	1	0.8694424172		
		Test data	5	0.948436559	1	0.918502652	1	0.8985857046	1	0.8307923089		
		Cross Validation	5	0.9530864198	1	0.9401234568	1	0.9166666667	1	0.8407407407		
	3	Validation data	1	0.9157720917	1	0.9310626628	1	0.8700128045	1	0.7410608622		
		Test data	1	0.9134040107	1	0.9233468125	1	0.8665052012	1	0.773353626		
		Cross Validation	1	0.9240740741	1	0.9228395062	1	0.8697530864	1	0.787037037		
	5	Validation data	1	0.8412838714	1	0.8915714437	1	0.8202327168	1	0.7052375566		
		Test data	1	0.8905435754	1	0.8886979638	1	0.8229827809	1	0.6788963121		
		Cross Validation	1	0.874691358	1	0.9148148148	1	0.8259259259	1	0.6574074074		
	7	Validation data	1	0.8160145935	1	0.9036365878	1	0.7783683073	1	0.5078561497		
		Test data	1	0.8289189244	1	0.899905158	1	0.7618354606	1	0.5597822773		
		Cross Validation	1	0.8444444444	1	0.9074074074	1	0.7925925926	1	0.5364197531		
	10	Validation data	1	0.8080033051	1	0.8684067961	3	0.7245771039	1	0.4357955028		
		Test data	1	0.7532166812	1	0.9058059385	3	0.7514876151	1	0.4863376667		
