 	Buckets	Test Type	Neighbors	Records/sec	Neighbors	MB/sec	Neighbors	Avg latency	Neighbors	Max latency		
Batch Size	2	Validation data	1	0.9307692308	1	0.8807692308	1	0.8423076923	1	0.7884615385		
		Test data	1	0.9135802469	1	0.8765432099	1	0.8395061728	1	0.7839506173		
		Cross Validation	1	0.9333333333	1	0.8783950617	1	0.8648148148	1	0.799382716		BUCKET
	3	Validation data	1	0.8692307692	1	0.8	1	0.7923076923	1	0.6230769231		
		Test data	1	0.8487654321	1	0.8456790123	1	0.787037037	1	0.6512345679		
		Cross Validation	1	0.8691358025	1	0.8283950617	1	0.8080246914	1	0.6759259259		
	5	Validation data	1	0.7769230769	1	0.8	1	0.7307692308	1	0.5923076923		VALIDATION DATA
		Test data	1	0.7932098765	1	0.8456790123	1	0.7345679012	1	0.5555555556		
		Cross Validation	1	0.8228395062	1	0.8203703704	1	0.7679012346	1	0.5654320988		
	7	Validation data	1	0.7269230769	1	0.8038461538	1	0.6730769231	1	0.4576923077		
		Test data	1	0.725308642	1	0.7808641975	1	0.6882716049	1	0.512345679		TEST DATA
		Cross Validation	1	0.7345679012	1	0.7962962963	1	0.712962963	1	0.4839506173		
	10	Validation data	1	0.6307692308	1	0.8	1	0.6461538462	1	0.3807692308		
		Test data	1	0.6820987654	1	0.7345679012	1	0.6512345679	1	0.3641975309		
		Cross Validation	1	0.6672839506	1	0.7944444444	1	0.6679012346	1	0.387037037		CROSS VALIDATION
Buffer Memory	2	Validation data	1	0.9519230769	1	0.8942307692	1	0.9567307692	4	0.8461538462		
		Test data	1	0.9230769231	1	0.9038461538	1	0.9269230769	4	0.8384615385		
		Cross Validation	1	0.9336501337	1	0.9004692605	1	0.935957826	4	0.8395307395		
	3	Validation data	1	0.9134615385	1	0.8701923077	1	0.8846153846	1	0.7355769231		
		Test data	1	0.8769230769	1	0.8461538462	1	0.8692307692	1	0.7230769231		
		Cross Validation	1	0.8873537274	1	0.8657439857	1	0.8857885358	1	0.7299346599		
	5	Validation data	1	0.8173076923	1	0.8125	1	0.7403846154	1	0.6057692308		
		Test data	1	0.8115384615	1	0.8269230769	1	0.7538461538	1	0.6307692308		
		Cross Validation	1	0.841027621	1	0.8564656965	1	0.7986367686	1	0.6288654589		
	7	Validation data	1	0.7884615385	1	0.8509615385	1	0.7259615385	1	0.5673076923		
		Test data	1	0.75	1	0.8384615385	1	0.7153846154	1	0.4923076923		
		Cross Validation	1	0.766988417	1	0.8225126225	1	0.7484645085	1	0.5347490347		
	10	Validation data	1	0.7163461538	1	0.7740384615	1	0.7355769231	1	0.4807692308		
		Test data	1	0.6769230769	1	0.8346153846	1	0.6730769231	1	0.4846153846		
		Cross Validation	1	0.726032076	1	0.8109414909	1	0.6759340659	1	0.4714582715		
Linger Ms	2	Validation data	5	0.9346153846	1	0.9230769231	1	0.9153846154	1	0.8307692308		
		Test data	5	0.950617284	1	0.9413580247	1	0.9043209877	1	0.8209876543		
		Cross Validation	5	0.95	1	0.9518518519	1	0.9160493827	1	0.8487654321		
	3	Validation data	1	0.9307692308	1	0.9153846154	1	0.9038461538	1	0.7961538462		
		Test data	1	0.9320987654	1	0.9413580247	1	0.8672839506	1	0.7561728395		
		Cross Validation	1	0.9222222222	1	0.9265432099	1	0.8771604938	1	0.7709876543		
	5	Validation data	1	0.8692307692	1	0.9038461538	1	0.8076923077	1	0.6346153846		
		Test data	1	0.8641975309	1	0.9074074074	1	0.8148148148	1	0.6203703704		
		Cross Validation	1	0.8697530864	1	0.9203703704	1	0.8277777778	1	0.6475308642		
	7	Validation data	1	0.8230769231	1	0.9038461538	1	0.7923076923	1	0.5		
		Test data	1	0.8395061728	1	0.9043209877	1	0.7592592593	1	0.5308641975		
		Cross Validation	1	0.8432098765	1	0.9080246914	1	0.7907407407	1	0.5438271605		
	10	Validation data	1	0.7576923077	1	0.8961538462	3	0.6961538462	1	0.4538461538		
		Test data	1	0.7685185185	1	0.8641975309	3	0.7469135802	1	0.4845679012		
		Cross Validation	1	0.7827160494	1	0.8944444444	3	0.7444444444	1	0.475308642		
Max Request Size	2	Validation data	1	0.9153846154	1	0.8807692308	1	0.8230769231	1	0.7576923077		
		Test data	1	0.9197530864	1	0.9043209877	1	0.8611111111	1	0.7716049383		
		Cross Validation	1	0.9308641975	1	0.8969135802	1	0.8561728395	1	0.7783950617		
	3	Validation data	1	0.8615384615	1	0.8307692308	1	0.8384615385	1	0.6538461538		
		Test data	1	0.8549382716	1	0.8641975309	1	0.8333333333	1	0.6820987654		
		Cross Validation	1	0.8913580247	1	0.8709876543	1	0.8185185185	1	0.687037037		
	5	Validation data	1	0.7615384615	1	0.8538461538	1	0.7884615385	3	0.5346153846		
		Test data	1	0.8179012346	1	0.8549382716	1	0.7654320988	3	0.475308642		
		Cross Validation	1	0.8160493827	1	0.8450617284	1	0.7765432099	3	0.5228395062		
	7	Validation data	1	0.75	1	0.8384615385	1	0.7076923077	1	0.4038461538		
