File	Buckets	Test Type	C	Records/sec	C	MB/sec	C	Avg latency	C	Max latency		
Batch Size	2	Validation data	100	0.9884615385	100	0.9769230769	100	0.9769230769	10	0.9692307692		
		Test data	100	1	100	0.9814814815	100	0.9722222222	10	0.950617284		BUCKET
		Cross Validation	100	0.9913580247	100	0.9716049383	100	0.9740740741	10	0.9512345679		
	3	Validation data	100	0.9769230769	100	0.9230769231	10	0.9461538462	100	0.9192307692		
		Test data	100	0.987654321	100	0.9074074074	10	0.9475308642	100	0.9135802469		
		Cross Validation	100	0.9864197531	100	0.9067901235	10	0.9487654321	100	0.8895061728		VALIDATION DATA
	5	Validation data	100	0.7653846154	100	0.7	10	0.7923076923	100	0.7153846154		
		Test data	100	0.8024691358	100	0.762345679	10	0.7839506173	100	0.7160493827		
		Cross Validation	100	0.7839506173	100	0.749382716	10	0.8135802469	100	0.7185185185		
	7	Validation data	100	0.6461538462	100	0.6	100	0.6346153846	100	0.5576923077		TEST DATA
		Test data	100	0.6388888889	100	0.6450617284	100	0.725308642	100	0.6296296296		
		Cross Validation	100	0.6611111111	100	0.6067901235	100	0.7074074074	100	0.5728395062		
	10	Validation data	100	0.5	100	0.5615384615	100	0.6076923077	100	0.4692307692		
		Test data	100	0.5277777778	100	0.4969135802	100	0.5648148148	100	0.4290123457		CROSS VALIDATION
		Cross Validation	100	0.5716049383	100	0.5148148148	100	0.637037037	100	0.4709876543		
Buffer Memory	2	Validation data	100	0.9855769231	10	0.9230769231	100	0.9759615385	100	0.9230769231		
		Test data	100	0.9923076923	10	0.9153846154	100	0.9615384615	100	0.9692307692		
		Cross Validation	100	0.9930620731	10	0.8858301158	100	0.9668310068	100	0.9490792991		
	3	Validation data	100	0.9759615385	100	0.8221153846	100	0.9134615385	100	0.8413461538		
		Test data	100	0.9884615385	100	0.7692307692	100	0.9230769231	100	0.8615384615		
		Cross Validation	100	0.9814879715	100	0.7955063855	100	0.9313246213	100	0.8703801604		
	5	Validation data	100	0.8317307692	100	0.5769230769	100	0.7644230769	100	0.6490384615		
		Test data	100	0.7807692308	100	0.5807692308	100	0.8192307692	100	0.6807692308		
		Cross Validation	100	0.7662132462	100	0.5949183249	100	0.8248381348	100	0.716043956		
	7	Validation data	100	0.6682692308	100	0.5288461538	100	0.6634615385	100	0.6346153846		
		Test data	100	0.6615384615	100	0.5115384615	100	0.7384615385	100	0.6423076923		
		Cross Validation	100	0.6658746659	100	0.5347341847	100	0.7114285714	100	0.587965548		
	10	Validation data	100	0.5192307692	10	0.3798076923	100	0.5336538462	100	0.4855769231		
		Test data	100	0.5615384615	10	0.3615384615	100	0.6076923077	100	0.4576923077		
		Cross Validation	100	0.5355004455	10	0.3927591328	100	0.6095812296	100	0.4846064746		
Linger Ms	2	Validation data	100	0.9884615385	100	0.9730769231	100	0.9615384615	100	0.9576923077		
		Test data	100	0.987654321	100	0.9567901235	100	0.9691358025	100	0.9567901235		
		Cross Validation	100	0.9944444444	100	0.962962963	100	0.9691358025	100	0.9561728395		
	3	Validation data	100	0.9923076923	100	0.8769230769	100	0.9230769231	100	0.9038461538		
		Test data	100	0.9845679012	100	0.8580246914	100	0.9259259259	100	0.8888888889		
		Cross Validation	100	0.9888888889	100	0.8820987654	100	0.9222222222	100	0.900617284		
	5	Validation data	100	0.7730769231	10	0.6461538462	1	0.8384615385	100	0.6269230769		
		Test data	100	0.774691358	10	0.6111111111	1	0.8209876543	100	0.7438271605		
		Cross Validation	100	0.787037037	10	0.6475308642	1	0.8209876543	100	0.7179012346		
	7	Validation data	100	0.7230769231	100	0.4923076923	100	0.7423076923	100	0.5615384615		
		Test data	100	0.7808641975	100	0.5740740741	100	0.75	100	0.6265432099		
		Cross Validation	100	0.7555555556	100	0.5395061728	100	0.7425925926	100	0.5882716049		
	10	Validation data	10	0.6615384615	100	0.3730769231	100	0.6384615385	100	0.4884615385		
		Test data	10	0.6358024691	100	0.4475308642	100	0.6111111111	100	0.5030864198		
		Cross Validation	10	0.6320987654	100	0.4037037037	100	0.6197530864	100	0.4827160494		
Max Request Size	2	Validation data	100	0.9961538462	100	0.9769230769	100	0.9923076923	100	0.9615384615		
		Test data	100	1	100	0.962962963	100	0.9845679012	100	0.9444444444		
		Cross Validation	100	0.9956790123	100	0.9654320988	100	0.9802469136	100	0.9537037037		
	3	Validation data	100	0.9846153846	100	0.8923076923	100	0.9538461538	100	0.8615384615		
		Test data	100	0.9907407407	100	0.8919753086	100	0.9660493827	100	0.9166666667		
		Cross Validation	100	0.9839506173	100	0.9061728395	100	0.9438271605	100	0.9018518519		
	5	Validation data	100	0.7653846154	100	0.6538461538	100	0.8461538462	100	0.7230769231		
		Test data	100	0.7932098765	100	0.6327160494	100	0.8487654321	100	0.7407407407		
		Cross Validation	100	0.8037037037	100	0.6444444444	100	0.837037037	100	0.7092592593		
	7	Validation data	100	0.7	10	0.5576923077	100	0.6961538462	100	0.55		
		Test data	100	0.7716049383	10	0.5586419753	100	0.7222222222	100	0.5339506173		
		Cross Validation	100	0.7265432099	10	0.5765432099	100	0.7086419753	100	0.5858024691		
	10	Validation data	100	0.6192307692	100	0.4538461538	100	0.6346153846	100	0.4384615385		
		Test data	100	0.6265432099	100	0.3981481481	100	0.6543209877	100	0.4814814815		
		Cross Validation	100	0.662345679	100	0.4598765432	100	0.6061728395	100	0.4617283951		
Message Size	2	Validation data	100	0.9669421488	100	0.9256198347	100	0.958677686	100	0.9008264463		
		Test data	100	0.9934210526	100	0.8881578947	100	0.9736842105	100	0.9407894737		
		Cross Validation	100	0.9841408156	100	0.9272307424	100	0.9761676542	100	0.933853259		
	3	Validation data	100	0.9090909091	100	0.7768595041	100	0.9338842975	100	0.9421487603		
		Test data	100	0.9276315789	100	0.8815789474	100	0.9539473684	100	0.8552631579		
		Cross Validation	100	0.9457737888	100	0.8148919484	100	0.920599512	100	0.8809428372		
	5	Validation data	100	0.8181818182	100	0.6198347107	100	0.8016528926	100	0.7024793388		
		Test data	100	0.8618421053	100	0.6513157895	100	0.8223684211	100	0.6710526316		
		Cross Validation	100	0.8214011851	100	0.6852126176	100	0.8215057511	100	0.6614499826		
