File	Buckets	Test Type	C-Records	Records/sec	C-MB	MB/sec	C-Avg	Avg latency	C-Max	Max latency		
Batch Size	2	Validation data	100	1	100	0.9846099197	100	0.988452796	10	0.9576716175		
		Test data	100	0.9876491224	100	0.96296014	100	0.9691310976	10	0.9474992427		BUCKET
		Cross Validation	100	0.9932098765	100	0.9703703704	100	0.975308642	10	0.9481481481		
	3	Validation data	100	0.9884387902	100	0.934447482	10	0.9390123741	100	0.8918017379		
		Test data	100	0.9845564876	100	0.9409569837	10	0.9360448399	100	0.853134115		
		Cross Validation	100	0.987654321	100	0.9117283951	10	0.9450617284	100	0.8962962963		VALIDATION DATA
	5	Validation data	100	0.7620980544	100	0.8212952354	10	0.7926771532	100	0.6738216096		
		Test data	100	0.790569328	100	0.7678754895	10	0.8214782709	100	0.6680226426		
		Cross Validation	100	0.7895061728	100	0.7481481481	10	0.8092592593	100	0.7160493827		
	7	Validation data	100	0.553226056	100	0.6279893366	100	0.7315491438	100	0.5563200726		TEST DATA
		Test data	100	0.6389195377	100	0.5765004495	100	0.6965772188	100	0.4999068032		
		Cross Validation	100	0.6598765432	100	0.6166666667	100	0.7098765432	100	0.562962963		
	10	Validation data	100	0.4845282533	100	0.3994709411	100	0.5354468874	100	0.5146401748		
		Test data	100	0.5818965742	100	0.4620359755	100	0.5593046949	100	0.4925531787		CROSS VALIDATION
		Cross Validation	100	0.5617283951	100	0.499382716	100	0.6185185185	100	0.4641975309		
Buffer Memory	2	Validation data	100	0.9903846154	10	0.8846153846	100	0.9615670788	100	0.947029997		
		Test data	100	0.9961545877	10	0.8769522145	100	0.9768872153	100	0.9692234797		
		Cross Validation	100	0.9930501931	10	0.8865637066	100	0.9683605584	100	0.9521770122		
	3	Validation data	100	0.9854990193	100	0.7990196713	100	0.9188261957	100	0.8643177524		
		Test data	100	0.9768030551	100	0.7756652792	100	0.9381470799	100	0.8684093461		
		Cross Validation	100	0.9814790615	100	0.8001485001	100	0.935954856	100	0.8757915058		
	5	Validation data	100	0.7143475386	100	0.5823568654	100	0.8307510404	100	0.6653627762		
		Test data	100	0.7830259155	100	0.5991902796	100	0.8335793035	100	0.7680098288		
		Cross Validation	100	0.7716127116	100	0.5864152064	100	0.8155806356	100	0.7183308583		
	7	Validation data	100	0.6350832461	100	0.5495485452	100	0.6556536736	100	0.520540423		
		Test data	100	0.6395499361	100	0.5196427846	100	0.7238679522	100	0.5883308625		
		Cross Validation	100	0.6666320166	100	0.5139174339	100	0.7083457083	100	0.5802257202		
	10	Validation data	100	0.5436502757	10	0.317079575	100	0.5016256006	100	0.4775358507		
		Test data	100	0.5063133399	10	0.3894018943	100	0.6124569018	100	0.4229911641		
		Cross Validation	100	0.52001782	10	0.392007722	100	0.5964449064	100	0.472961093		
Linger Ms	2	Validation data	100	0.988469245	100	0.9768900233	100	0.9730869728	100	0.9424418826		
		Test data	100	0.9876514946	100	0.9722230161	100	0.9752594013	100	0.9598799834		
		Cross Validation	100	0.9925925926	100	0.9648148148	100	0.9691358025	100	0.9574074074		
	3	Validation data	100	0.9846153846	100	0.8755048835	100	0.9500997411	100	0.8806158839		
		Test data	100	0.9813068033	100	0.8685589409	100	0.9283400543	100	0.9057785501		
		Cross Validation	100	0.9888888889	100	0.8888888889	100	0.9265432099	100	0.9012345679		
