File	Buckets	Test Type	C	Records/sec	C	MB/sec	C	Avg latency	C	Max latency		
Batch Size	2	Validation data	100	0.9924327705	100	0.9616027324	100	0.9846153846	10	0.9472768839		
		Test data	100	0.9788591717	100	0.975308642	100	0.9738145789	10	0.9608534937		BUCKET
		Cross Validation	100	0.9932098765	100	0.9709876543	100	0.9765432099	10	0.9462962963		
	3	Validation data	100	0.9923076923	100	0.899541089	10	0.9343173443	100	0.9200906159		
		Test data	100	0.9877623655	100	0.9074163484	10	0.9327587279	100	0.8887529138		
		Cross Validation	100	0.987654321	100	0.9092592593	10	0.9413580247	100	0.8944444444		VALIDATION DATA
	5	Validation data	100	0.7717926598	100	0.7745360602	10	0.8210828585	100	0.7573832208		
		Test data	100	0.7461939176	100	0.8091470208	10	0.7667201029	100	0.7149633462		
		Cross Validation	100	0.7820987654	100	0.7419753086	10	0.8	100	0.7277777778		
	7	Validation data	100	0.6033346962	100	0.6931421542	100	0.7477107144	100	0.5315124806		TEST DATA
		Test data	100	0.6241151857	100	0.6265614927	100	0.7331072645	100	0.5466018171		
		Cross Validation	100	0.6549382716	100	0.6104938272	100	0.7104938272	100	0.5574074074		
	10	Validation data	100	0.5005018167	100	0.6040938966	100	0.5999284373	100	0.489790496		
		Test data	100	0.5321137222	100	0.4721060342	100	0.5858615629	100	0.4917185655		CROSS VALIDATION
		Cross Validation	100	0.5728395062	100	0.5141975309	100	0.6277777778	100	0.474691358		
Buffer Memory	2	Validation data	100	0.9815088757	10	0.8990473647	100	0.9567930912	100	0.9711538462		
		Test data	100	0.9924233661	10	0.8857215038	100	0.9730922446	100	0.9462721893		
		Cross Validation	100	0.9930531631	10	0.8881081081	100	0.9691446391	100	0.9498574399		
	3	Validation data	100	0.9861111111	100	0.7889570977	100	0.9621178501	100	0.8857880676		
		Test data	100	0.9852842809	100	0.8221642468	100	0.9265229104	100	0.8997758949		
		Cross Validation	100	0.9768488268	100	0.7947549748	100	0.9351975052	100	0.8726878527		
