File	Buckets	Test Type	C-Records	Records/sec	C-MB	MB/sec	C-Avg	Avg latency	C-Max	Max latency		
Batch Size	2	Validation data	100	1	100	0.9730769231	100	0.9730769231	10	0.9307692308		
		Test data	100	0.987654321	100	0.9691358025	100	0.9845679012	10	0.9413580247		BUCKET
		Cross Validation	100	0.9944444444	100	0.9685185185	100	0.9709876543	10	0.9462962963		
	3	Validation data	100	0.9692307692	100	0.9269230769	10	0.9615384615	100	0.8961538462		
		Test data	100	0.9845679012	100	0.9043209877	10	0.9537037037	100	0.8858024691		
		Cross Validation	100	0.9851851852	100	0.9148148148	10	0.9450617284	100	0.8895061728		VALIDATION DATA
	5	Validation data	100	0.7423076923	100	0.7038461538	10	0.8307692308	100	0.7307692308		
		Test data	100	0.762345679	100	0.762345679	10	0.8179012346	100	0.725308642		
		Cross Validation	100	0.7858024691	100	0.7456790123	10	0.8061728395	100	0.7216049383		
	7	Validation data	100	0.7038461538	100	0.6269230769	100	0.7538461538	100	0.6384615385		TEST DATA
		Test data	100	0.6450617284	100	0.6635802469	100	0.6944444444	100	0.5432098765		
		Cross Validation	100	0.6512345679	100	0.6074074074	100	0.7111111111	100	0.5567901235		
	10	Validation data	100	0.5576923077	100	0.4653846154	100	0.6653846154	100	0.4884615385		
		Test data	100	0.6049382716	100	0.4567901235	100	0.6203703704	100	0.4320987654		CROSS VALIDATION
		Cross Validation	100	0.5574074074	100	0.512962963	100	0.6302469136	100	0.4820987654		
Buffer Memory	2	Validation data	100	0.9807692308	10	0.8798076923	100	0.9663461538	100	0.9375		
		Test data	100	0.9923076923	10	0.8807692308	100	0.9692307692	100	0.9653846154		
		Cross Validation	100	0.9930531631	10	0.8842857143	100	0.9722275022	100	0.9506326106		
	3	Validation data	100	0.9759615385	100	0.7644230769	100	0.9182692308	100	0.8846153846		
		Test data	100	0.9769230769	100	0.8115384615	100	0.9384615385	100	0.8384615385		
		Cross Validation	100	0.9768428868	100	0.7931986932	100	0.9313097713	100	0.8742441342		
	5	Validation data	100	0.7596153846	100	0.6105769231	100	0.8221153846	100	0.7019230769		
		Test data	100	0.7846153846	100	0.6269230769	100	0.8230769231	100	0.7		
		Cross Validation	100	0.7685179685	100	0.6034333234	100	0.8279477279	100	0.7098782299		
	7	Validation data	100	0.6634615385	100	0.5576923077	100	0.7259615385	100	0.5673076923		
		Test data	100	0.6807692308	100	0.4615384615	100	0.6846153846	100	0.6307692308		
		Cross Validation	100	0.6705940006	100	0.5092782893	100	0.7168131868	100	0.587986338		
	10	Validation data	100	0.5288461538	10	0.4038461538	100	0.5336538462	100	0.4519230769		
		Test data	100	0.5384615385	10	0.3615384615	100	0.5846153846	100	0.4846153846		
		Cross Validation	100	0.5278200178	10	0.3757974458	100	0.5941134541	100	0.4853430353		
Linger Ms	2	Validation data	100	0.9961538462	100	0.9730769231	100	0.9653846154	100	0.9576923077		
		Test data	100	0.9907407407	100	0.9814814815	100	0.9691358025	100	0.9537037037		
		Cross Validation	100	0.9925925926	100	0.9672839506	100	0.9722222222	100	0.9611111111		
	3	Validation data	100	0.9807692308	100	0.8692307692	100	0.9230769231	100	0.9076923077		
		Test data	100	0.9845679012	100	0.8734567901	100	0.9197530864	100	0.8765432099		
		Cross Validation	100	0.9901234568	100	0.8845679012	100	0.9240740741	100	0.9037037037		
	5	Validation data	100	0.8038461538	10	0.6769230769	1	0.8230769231	100	0.7307692308		
		Test data	100	0.8024691358	10	0.6759259259	1	0.7716049383	100	0.7438271605		
		Cross Validation	100	0.799382716	10	0.6388888889	1	0.8283950617	100	0.7141975309		
	7	Validation data	100	0.7230769231	100	0.5115384615	100	0.7461538462	100	0.5923076923		
		Test data	100	0.787037037	100	0.537037037	100	0.774691358	100	0.6080246914		
		Cross Validation	100	0.7635802469	100	0.5320987654	100	0.7339506173	100	0.5802469136		
	10	Validation data	10	0.6115384615	100	0.4423076923	100	0.6307692308	100	0.5153846154		
		Test data	10	0.6543209877	100	0.4197530864	100	0.6388888889	100	0.4907407407		
		Cross Validation	10	0.637654321	100	0.400617284	100	0.6197530864	100	0.4691358025		
Max Request Size	2	Validation data	100	0.9961538462	100	0.9576923077	100	0.9846153846	100	0.9615384615		
		Test data	100	0.9969135802	100	0.975308642	100	0.9783950617	100	0.9567901235		
		Cross Validation	100	0.9981481481	100	0.9672839506	100	0.9851851852	100	0.9512345679		
	3	Validation data	100	0.9884615385	100	0.9461538462	100	0.95	100	0.9		
		Test data	100	0.9845679012	100	0.9166666667	100	0.9290123457	100	0.8858024691		
		Cross Validation	100	0.987654321	100	0.9049382716	100	0.9469135802	100	0.8987654321		
	5	Validation data	100	0.7846153846	100	0.6230769231	100	0.8423076923	100	0.6692307692		
		Test data	100	0.7839506173	100	0.6666666667	100	0.8271604938	100	0.7438271605		
		Cross Validation	100	0.8043209877	100	0.6672839506	100	0.8425925926	100	0.7209876543		
