File	Buckets	Test Type	C-Records	Gamma-Records	Records/sec	C-MB	Gamma-MB	MB/sec	C-Avg	Gamma-Avg	Avg latency	C-Max	Gamma-Max	Max latency
Batch Size	2	Validation data	100	0.01	0.9846153846	100	1	0.9346153846	100	0.1	0.9615384615	100	0.01	0.9423076923
		Test data	100	0.01	0.9814814815	100	1	0.9166666667	100	0.1	0.9691358025	100	0.01	0.9382716049
		Cross Validation	100	0.01	0.9864197531	100	1	0.9364197531	100	0.1	0.9685185185	100	0.01	0.95
	3	Validation data	100	0.01	0.9807692308	100	0.01	0.9038461538	100	0.01	0.9461538462	100	0.01	0.8961538462
		Test data	100	0.01	0.987654321	100	0.01	0.8950617284	100	0.01	0.962962963	100	0.01	0.8796296296
		Cross Validation	100	0.01	0.9777777778	100	0.01	0.9234567901	100	0.01	0.9524691358	100	0.01	0.8950617284
	5	Validation data	100	0.01	0.9461538462	100	0.01	0.8769230769	100	1	0.8769230769	100	0.01	0.7730769231
		Test data	100	0.01	0.9382716049	100	0.01	0.8487654321	100	1	0.9290123457	100	0.01	0.787037037
		Cross Validation	100	0.01	0.9530864198	100	0.01	0.8685185185	100	1	0.9141975309	100	0.01	0.824691358
	7	Validation data	100	0.01	0.8692307692	100	0.01	0.7269230769	100	1	0.7961538462	100	0.01	0.7615384615
		Test data	100	0.01	0.9043209877	100	0.01	0.7160493827	100	1	0.8086419753	100	0.01	0.7839506173
		Cross Validation	100	0.01	0.9086419753	100	0.01	0.7839506173	100	1	0.8308641975	100	0.01	0.7580246914
	10	Validation data	100	0.01	0.9115384615	100	0.01	0.7307692308	100	0.01	0.7730769231	100	0.01	0.6153846154
		Test data	100	0.01	0.8549382716	100	0.01	0.6728395062	100	0.01	0.8271604938	100	0.01	0.6203703704
		Cross Validation	100	0.01	0.9030864198	100	0.01	0.6913580247	100	0.01	0.8364197531	100	0.01	0.6388888889
Buffer Memory	2	Validation data	100	0.01	0.9855769231	100	0.1	0.9423076923	10	0.01	0.9519230769	100	0.01	0.9375
		Test data	100	0.01	0.9769230769	100	0.1	0.9269230769	10	0.01	0.9461538462	100	0.01	0.9384615385
		Cross Validation	100	0.01	0.9853311553	100	0.1	0.9552361152	10	0.01	0.9436798337	100	0.01	0.9405880606
	3	Validation data	100	0.01	0.9567307692	100	1	0.8365384615	100	0.01	0.9375	100	0.01	0.8701923077
		Test data	100	0.01	0.9769230769	100	1	0.8192307692	100	0.01	0.9384615385	100	0.01	0.8846153846
		Cross Validation	100	0.01	0.9668072468	100	1	0.8086308286	100	0.01	0.9313424413	100	0.01	0.8942886843
	5	Validation data	100	0.01	0.9519230769	100	0.1	0.8509615385	100	0.1	0.9038461538	100	0.01	0.8125
		Test data	100	0.01	0.9576923077	100	0.1	0.8769230769	100	0.1	0.8653846154	100	0.01	0.8038461538
		Cross Validation	100	0.01	0.9498514999	100	0.1	0.8811701812	100	0.1	0.912037422	100	0.01	0.8194653995
	7	Validation data	100	0.01	0.8894230769	100	0.1	0.7644230769	100	0.01	0.8028846154	100	0.01	0.6490384615
		Test data	100	0.01	0.8769230769	100	0.1	0.7615384615	100	0.01	0.8576923077	100	0.01	0.6615384615
		Cross Validation	100	0.01	0.8958360558	100	0.1	0.7854826255	100	0.01	0.8248589249	100	0.01	0.6766973567
	10	Validation data	100	0.01	0.9038461538	100	0.1	0.7259615385	100	0.1	0.7692307692	100	0.01	0.5192307692
		Test data	100	0.01	0.9192307692	100	0.1	0.6769230769	100	0.1	0.7730769231	100	0.01	0.5769230769
		Cross Validation	100	0.01	0.8834749035	100	0.1	0.7083813484	100	0.1	0.7878289278	100	0.01	0.5818384318
Linger Ms	2	Validation data	100	0.01	0.9653846154	100	0.01	0.9538461538	100	1	0.9692307692	100	0.01	0.9423076923
		Test data	100	0.01	0.9814814815	100	0.01	0.9598765432	100	1	0.9413580247	100	0.01	0.9382716049
		Cross Validation	100	0.01	0.9777777778	100	0.01	0.9648148148	100	1	0.9648148148	100	0.01	0.9487654321
	3	Validation data	100	0.1	0.9769230769	100	0.1	0.9307692308	100	1	0.95	100	0.01	0.9269230769
		Test data	100	0.1	0.9691358025	100	0.1	0.9413580247	100	1	0.9413580247	100	0.01	0.8919753086
		Cross Validation	100	0.1	0.9679012346	100	0.1	0.9395061728	100	1	0.9302469136	100	0.01	0.9160493827
	5	Validation data	100	0.01	0.9307692308	100	0.01	0.8269230769	100	0.01	0.9	100	0.01	0.8
		Test data	100	0.01	0.9351851852	100	0.01	0.8549382716	100	0.01	0.8919753086	100	0.01	0.8333333333
		Cross Validation	100	0.01	0.9425925926	100	0.01	0.8592592593	100	0.01	0.8987654321	100	0.01	0.8265432099
	7	Validation data	100	0.01	0.9307692308	100	0.1	0.8307692308	100	0.01	0.8807692308	100	0.01	0.6884615385
		Test data	100	0.01	0.9320987654	100	0.1	0.7932098765	100	0.01	0.8888888889	100	0.01	0.6697530864
		Cross Validation	100	0.01	0.9333333333	100	0.1	0.8413580247	100	0.01	0.8907407407	100	0.01	0.7283950617
	10	Validation data	100	0.01	0.8692307692	100	0.1	0.7307692308	100	0.01	0.8230769231	100	0.01	0.5846153846
		Test data	100	0.01	0.8734567901	100	0.1	0.7716049383	100	0.01	0.7654320988	100	0.01	0.5709876543
		Cross Validation	100	0.01	0.887037037	100	0.1	0.7617283951	100	0.01	0.7981481481	100	0.01	0.6172839506
Max Request Size	2	Validation data	100	0.01	0.9769230769	100	1	0.9153846154	100	1	0.9807692308	100	0.01	0.9269230769
		Test data	100	0.01	0.9969135802	100	1	0.9382716049	100	1	0.962962963	100	0.01	0.9351851852
		Cross Validation	100	0.01	0.987037037	100	1	0.9191358025	100	1	0.9728395062	100	0.01	0.9438271605
	3	Validation data	100	1	0.9615384615	100	0.01	0.9269230769	100	0.01	0.9461538462	100	0.01	0.9461538462
		Test data	100	1	0.950617284	100	0.01	0.8950617284	100	0.01	0.9567901235	100	0.01	0.8796296296
		Cross Validation	100	1	0.9654320988	100	0.01	0.9086419753	100	0.01	0.9611111111	100	0.01	0.8981481481
	5	Validation data	100	0.01	0.9423076923	100	0.1	0.9230769231	100	0.01	0.9115384615	100	0.01	0.7807692308
