File	Buckets	Test Type	C-Records	Gamma-Records	Records/sec	C-MB	Gamma-MB	MB/sec	C-Avg	Gamma-Avg	Avg latency	C-Max	Gamma-Max	Max latency
Batch Size	2	Validation data	100	0.01	0.9730709291	100	1	0.9153595798	100	0.1	0.9653974217	100	0.01	0.9382552314
		Test data	100	0.01	0.993827631	100	1	0.9259598077	100	0.1	0.9598661512	100	0.01	0.9629912053
		Cross Validation	100	0.01	0.9864197531	100	1	0.937037037	100	0.1	0.9703703704	100	0.01	0.9524691358
	3	Validation data	100	0.01	0.9539659331	100	0.01	0.9376548857	100	0.01	0.9423071755	100	0.01	0.8775736189
		Test data	100	0.01	0.972306792	100	0.01	0.9228322724	100	0.01	0.9383052645	100	0.01	0.8924780228
		Cross Validation	100	0.01	0.9759259259	100	0.01	0.9222222222	100	0.01	0.9555555556	100	0.01	0.8944444444
	5	Validation data	100	0.01	0.9535280188	100	0.01	0.8505684982	100	1	0.9116442957	100	0.01	0.7983339493
		Test data	100	0.01	0.9601337629	100	0.01	0.8839459633	100	1	0.9234811807	100	0.01	0.8212351044
		Cross Validation	100	0.01	0.9481481481	100	0.01	0.874691358	100	1	0.9104938272	100	0.01	0.8234567901
	7	Validation data	100	0.01	0.8669277452	100	0.01	0.7680601573	100	1	0.7703420772	100	0.01	0.7069982382
		Test data	100	0.01	0.9196840028	100	0.01	0.7715933987	100	1	0.8289284882	100	0.01	0.7917238968
		Cross Validation	100	0.01	0.9154320988	100	0.01	0.7722222222	100	1	0.8283950617	100	0.01	0.762962963
	10	Validation data	100	0.01	0.8661267324	100	0.01	0.6473126986	100	0.01	0.8242052506	100	0.01	0.6562074701
		Test data	100	0.01	0.8552133017	100	0.01	0.6699674787	100	0.01	0.8266450998	100	0.01	0.6839131556
		Cross Validation	100	0.01	0.8944444444	100	0.01	0.6975308642	100	0.01	0.8339506173	100	0.01	0.6395061728
Buffer Memory	2	Validation data	100	0.01	0.9951933097	100	0.1	0.9471117174	10	0.01	0.9423076923	100	0.01	0.9374869957
		Test data	100	0.01	0.9884630765	100	0.1	0.9192008879	10	0.01	0.9423375736	100	0.01	0.9382852526
		Cross Validation	100	0.01	0.9861182061	100	0.1	0.9583367983	10	0.01	0.9429046629	100	0.01	0.9405880606
	3	Validation data	100	0.01	0.9660418403	100	1	0.8121775926	100	0.01	0.8995502361	100	0.01	0.8894273893
		Test data	100	0.01	0.9730133267	100	1	0.796629025	100	0.01	0.923324438	100	0.01	0.8850220181
		Cross Validation	100	0.01	0.972984853	100	1	0.8032254232	100	0.01	0.9398010098	100	0.01	0.891992872
	5	Validation data	100	0.01	0.942102342	100	0.1	0.8689231484	100	0.1	0.9184620336	100	0.01	0.8057458101
		Test data	100	0.01	0.9730942537	100	0.1	0.8736622077	100	0.1	0.8767512138	100	0.01	0.7998114838
		Cross Validation	100	0.01	0.9621948322	100	0.1	0.8842589843	100	0.1	0.9050965251	100	0.01	0.8217790318
	7	Validation data	100	0.01	0.9178754463	100	0.1	0.7586699482	100	0.01	0.7794506176	100	0.01	0.6189691941
		Test data	100	0.01	0.9035707053	100	0.1	0.7550640488	100	0.01	0.8459913931	100	0.01	0.6504090196
		Cross Validation	100	0.01	0.9012295812	100	0.1	0.7823997624	100	0.01	0.8248737749	100	0.01	0.6797683398
	10	Validation data	100	0.01	0.8843340374	100	0.1	0.676595032	100	0.1	0.7944550076	100	0.01	0.5634941342
		Test data	100	0.01	0.8808208198	100	0.1	0.6716996326	100	0.1	0.7631699452	100	0.01	0.5537309987
		Cross Validation	100	0.01	0.8842441342	100	0.1	0.7168280368	100	0.1	0.7785149985	100	0.01	0.5786902287
Linger Ms	2	Validation data	100	0.01	0.9576904301	100	0.01	0.9615316336	100	1	0.9769230769	100	0.01	0.9190253596
		Test data	100	0.01	0.969114369	100	0.01	0.9907418892	100	1	0.9567934169	100	0.01	0.9444190331
