File	Buckets	Test Type	C-Records	Gamma-Records	Records/sec	C-MB	Gamma-MB	MB/sec	C-Avg	Gamma-Avg	Avg latency	C-Max	Gamma-Max	Max latency
Batch Size	2	Validation data	100	0.01	0.980790914	100	1	0.9118520104	100	0.1	0.9692307692	100	0.01	0.9307976546
		Test data	100	0.01	0.9879668698	100	1	0.9415974394	100	0.1	0.944499536	100	0.01	0.9355757743
		Cross Validation	100	0.01	0.987654321	100	1	0.9351851852	100	0.1	0.9660493827	100	0.01	0.950617284
	3	Validation data	100	0.01	0.9846133034	100	0.01	0.9383870477	100	0.01	0.9507807981	100	0.01	0.8851714811
		Test data	100	0.01	0.973248897	100	0.01	0.9399031574	100	0.01	0.9514293969	100	0.01	0.8758271843
		Cross Validation	100	0.01	0.9728395062	100	0.01	0.9283950617	100	0.01	0.9537037037	100	0.01	0.899382716
	5	Validation data	100	0.01	0.9407155159	100	0.01	0.8761665899	100	1	0.9182010726	100	0.01	0.7795119315
		Test data	100	0.01	0.933505049	100	0.01	0.8671333583	100	1	0.9173383374	100	0.01	0.8364575021
		Cross Validation	100	0.01	0.95	100	0.01	0.8759259259	100	1	0.9135802469	100	0.01	0.8327160494
	7	Validation data	100	0.01	0.8982441269	100	0.01	0.7654242996	100	1	0.802825837	100	0.01	0.7475797774
		Test data	100	0.01	0.9098134315	100	0.01	0.7811410146	100	1	0.8286482264	100	0.01	0.7281069725
		Cross Validation	100	0.01	0.9160493827	100	0.01	0.7777777778	100	1	0.8135802469	100	0.01	0.7574074074
	10	Validation data	100	0.01	0.891166116	100	0.01	0.7707768018	100	0.01	0.8181001094	100	0.01	0.6220163297
		Test data	100	0.01	0.8916291208	100	0.01	0.6488195748	100	0.01	0.8156565876	100	0.01	0.6407219805
		Cross Validation	100	0.01	0.9061728395	100	0.01	0.6987654321	100	0.01	0.8308641975	100	0.01	0.6382716049
Buffer Memory	2	Validation data	100	0.01	0.9809470958	100	0.1	0.9759835653	10	0.01	0.9379160503	100	0.01	0.9396456001
		Test data	100	0.01	0.9808010999	100	0.1	0.9347779755	10	0.01	0.9192970822	100	0.01	0.9425637384
		Cross Validation	100	0.01	0.9868785269	100	0.1	0.9567923968	10	0.01	0.9483011583	100	0.01	0.939040689
	3	Validation data	100	0.01	0.9758910793	100	1	0.8121736504	100	0.01	0.9281244572	100	0.01	0.8850563237
		Test data	100	0.01	0.9626549099	100	1	0.7685932266	100	0.01	0.9318554007	100	0.01	0.8893664331
		Cross Validation	100	0.01	0.9675824176	100	1	0.8094030294	100	0.01	0.9452034452	100	0.01	0.902019602
	5	Validation data	100	0.01	0.962912758	100	0.1	0.8927747692	100	0.1	0.9186698718	100	0.01	0.8385451768
