File	Buckets	Test Type	C-Records	Gamma-Records	Records/sec	C-MB	Gamma-MB	MB/sec	C-Avg	Gamma-Avg	Avg latency	C-Max	Gamma-Max	Max latency
Batch Size	2	Validation data	100	0.01	0.9846153846	100	1	0.9346153846	100	0.1	0.9769230769	100	0.01	0.9769230769
		Test data	100	0.01	0.9814814815	100	1	0.9290123457	100	0.1	0.9691358025	100	0.01	0.9537037037
		Cross Validation	100	0.01	0.9888888889	100	1	0.9388888889	100	0.1	0.9685185185	100	0.01	0.950617284
	3	Validation data	100	0.01	0.9576923077	100	0.01	0.9038461538	100	0.01	0.9692307692	100	0.01	0.8961538462
		Test data	100	0.01	0.9845679012	100	0.01	0.9074074074	100	0.01	0.9382716049	100	0.01	0.8611111111
		Cross Validation	100	0.01	0.9777777778	100	0.01	0.9277777778	100	0.01	0.9530864198	100	0.01	0.8969135802
	5	Validation data	100	0.01	0.9576923077	100	0.01	0.8230769231	100	1	0.9461538462	100	0.01	0.8115384615
		Test data	100	0.01	0.9475308642	100	0.01	0.8580246914	100	1	0.8734567901	100	0.01	0.8271604938
		Cross Validation	100	0.01	0.9512345679	100	0.01	0.8740740741	100	1	0.912345679	100	0.01	0.8283950617
	7	Validation data	100	0.01	0.9423076923	100	0.01	0.7615384615	100	1	0.7961538462	100	0.01	0.7076923077
		Test data	100	0.01	0.8919753086	100	0.01	0.7191358025	100	1	0.8271604938	100	0.01	0.7685185185
		Cross Validation	100	0.01	0.9086419753	100	0.01	0.774691358	100	1	0.8209876543	100	0.01	0.7543209877
	10	Validation data	100	0.01	0.8884615385	100	0.01	0.6423076923	100	0.01	0.8192307692	100	0.01	0.5615384615
		Test data	100	0.01	0.9012345679	100	0.01	0.6481481481	100	0.01	0.8117283951	100	0.01	0.6141975309
		Cross Validation	100	0.01	0.8956790123	100	0.01	0.6827160494	100	0.01	0.8333333333	100	0.01	0.6481481481
Buffer Memory	2	Validation data	100	0.01	0.9855769231	100	0.1	0.9519230769	10	0.01	0.9230769231	100	0.01	0.9567307692
		Test data	100	0.01	0.9923076923	100	0.1	0.9730769231	10	0.01	0.9692307692	100	0.01	0.9423076923
		Cross Validation	100	0.01	0.9868844669	100	0.1	0.9544757945	10	0.01	0.9452212652	100	0.01	0.9452212652
	3	Validation data	100	0.01	0.9855769231	100	1	0.8125	100	0.01	0.9375	100	0.01	875
		Test data	100	0.01	0.9576923077	100	1	0.8269230769	100	0.01	0.9538461538	100	0.01	0.8730769231
		Cross Validation	100	0.01	0.962955153	100	1	0.8063231363	100	0.01	0.9351796852	100	0.01	0.8973745174
	5	Validation data	100	0.01	0.9519230769	100	0.1	0.8701923077	100	0.1	0.8894230769	100	0.01	0.8317307692
		Test data	100	0.01	0.9384615385	100	0.1	0.8346153846	100	0.1	0.9038461538	100	0.01	0.7615384615
		Cross Validation	100	0.01	0.956020196	100	0.1	0.8842589843	100	0.1	0.9081704782	100	0.01	0.8248559549
	7	Validation data	100	0.01	0.8942307692	100	0.1	0.7836538462	100	0.01	0.8461538462	100	0.01	0.6442307692
		Test data	100	0.01	0.9153846154	100	0.1	0.7730769231	100	0.01	0.7961538462	100	0.01	0.6692307692
		Cross Validation	100	0.01	0.9104930205	100	0.1	0.7908850609	100	0.01	0.8333234333	100	0.01	0.6767151767
	10	Validation data	100	0.01	0.8894230769	100	0.1	0.7067307692	100	0.1	0.7932692308	100	0.01	0.5432692308
		Test data	100	0.01	0.9230769231	100	0.1	0.6846153846	100	0.1	0.7884615385	100	0.01	0.6076923077
		Cross Validation	100	0.01	0.8973982774	100	0.1	0.7113810514	100	0.1	0.7862577963	100	0.01	0.5725126225
Linger Ms	2	Validation data	100	0.01	0.9730769231	100	0.01	0.9615384615	100	1	0.95	100	0.01	0.9423076923
		Test data	100	0.01	0.9783950617	100	0.01	0.9691358025	100	1	0.9722222222	100	0.01	0.9475308642
		Cross Validation	100	0.01	0.9790123457	100	0.01	0.9679012346	100	1	0.9660493827	100	0.01	0.949382716
	3	Validation data	100	0.1	0.9615384615	100	0.1	0.9346153846	100	1	0.9269230769	100	0.01	0.9346153846
		Test data	100	0.1	0.9814814815	100	0.1	0.9166666667	100	1	0.9104938272	100	0.01	0.8858024691
		Cross Validation	100	0.1	0.9691358025	100	0.1	0.9395061728	100	1	0.9290123457	100	0.01	0.9135802469
	5	Validation data	100	0.01	0.9538461538	100	0.01	0.8846153846	100	0.01	0.8884615385	100	0.01	0.8230769231
		Test data	100	0.01	0.9382716049	100	0.01	0.8580246914	100	0.01	0.8765432099	100	0.01	0.8395061728
		Cross Validation	100	0.01	0.9543209877	100	0.01	0.8586419753	100	0.01	0.9104938272	100	0.01	0.8320987654
	7	Validation data	100	0.01	0.9076923077	100	0.1	0.85	100	0.01	0.9076923077	100	0.01	0.7
		Test data	100	0.01	0.9413580247	100	0.1	0.8518518519	100	0.01	0.8858024691	100	0.01	0.700617284
		Cross Validation	100	0.01	0.937654321	100	0.1	0.8432098765	100	0.01	0.8907407407	100	0.01	0.7209876543
	10	Validation data	100	0.01	0.9230769231	100	0.1	0.7961538462	100	0.01	0.8230769231	100	0.01	0.6230769231
		Test data	100	0.01	0.8827160494	100	0.1	0.7283950617	100	0.01	0.7808641975	100	0.01	0.5740740741
		Cross Validation	100	0.01	0.874691358	100	0.1	0.7530864198	100	0.01	0.7962962963	100	0.01	0.6037037037
Max Request Size	2	Validation data	100	0.01	0.9807692308	100	1	0.8846153846	100	1	0.9730769231	100	0.01	0.9192307692
		Test data	100	0.01	0.9938271605	100	1	0.9444444444	100	1	0.9845679012	100	0.01	0.9320987654
		Cross Validation	100	0.01	0.9882716049	100	1	0.9191358025	100	1	0.9734567901	100	0.01	0.9401234568
	3	Validation data	100	1	0.9730769231	100	0.01	0.9153846154	100	0.01	0.9538461538	100	0.01	0.9230769231
		Test data	100	1	0.950617284	100	0.01	0.9104938272	100	0.01	0.9475308642	100	0.01	0.8549382716
		Cross Validation	100	1	0.9635802469	100	0.01	0.9055555556	100	0.01	0.9580246914	100	0.01	0.8975308642
	5	Validation data	100	0.01	0.9653846154	100	0.1	0.8923076923	100	0.01	0.9115384615	100	0.01	0.8076923077
		Test data	100	0.01	0.9444444444	100	0.1	0.9259259259	100	0.01	0.9012345679	100	0.01	0.7808641975
		Cross Validation	100	0.01	0.9561728395	100	0.1	0.887037037	100	0.01	0.9203703704	100	0.01	0.8018518519
	7	Validation data	100	0.01	0.9115384615	100	0.1	0.8192307692	100	0.01	0.8923076923	100	0.01	0.5923076923
		Test data	100	0.01	0.9228395062	100	0.1	0.8302469136	100	0.01	0.8672839506	100	0.01	0.6944444444
		Cross Validation	100	0.01	0.937654321	100	0.1	0.837654321	100	0.01	0.8691358025	100	0.01	0.6981481481
	10	Validation data	100	0.01	0.8730769231	100	0.1	0.75	100	0.01	0.8423076923	100	0.01	0.5769230769
		Test data	100	0.01	0.9104938272	100	0.1	0.7345679012	100	0.01	0.774691358	100	0.01	0.537037037
		Cross Validation	100	0.01	0.8969135802	100	0.1	0.7388888889	100	0.01	0.812962963	100	0.01	0.587037037
Message Size	2	Validation data	100	0.01	0.9834710744	100	1	0.8760330579	100	0.1	0.9669421488	100	0.1	0.9752066116
		Test data	100	0.01	0.9802631579	100	1	0.9013157895	100	0.1	0.9736842105	100	0.1	0.9671052632
		Cross Validation	100	0.01	0.9828075985	100	1	0.8888724294	100	0.1	0.9642732659	100	0.1	0.9418002788
	3	Validation data	1	0.1	0.8842975207	100	0.01	0.867768595	100	0.01	0.9504132231	100	0.01	0.8760330579
		Test data	1	0.1	0.8815789474	100	0.01	0.8618421053	100	0.01	0.9671052632	100	0.01	0.9276315789
		Cross Validation	1	0.1	0.8571104915	100	0.01	0.8624259324	100	0.01	0.9563698153	100	0.01	0.8928372255
	5	Validation data	100	0.01	0.8760330579	100	0.01	0.7107438017	100	0.01	0.8347107438	100	0.01	0.8347107438
		Test data	100	0.01	0.8486842105	100	0.01	0.7039473684	100	0.01	0.8618421053	100	0.01	0.8092105263
		Cross Validation	100	0.01	0.8716887417	100	0.01	0.7566050889	100	0.01	0.8637242942	100	0.01	0.8425932381
	7	Validation data	100	0.01	0.8429752066	100	0.01	0.7272727273	100	0.01	0.7851239669	100	0.01	0.7024793388
